dataset_of_60s_track,dataset_of_60s_artist,dataset_of_60s_uri,dataset_of_60s_danceability,dataset_of_60s_energy,dataset_of_60s_key,dataset_of_60s_loudness,dataset_of_60s_mode,dataset_of_60s_speechiness,dataset_of_60s_acousticness,dataset_of_60s_instrumentalness,dataset_of_60s_liveness,dataset_of_60s_valence,dataset_of_60s_tempo,dataset_of_60s_duration_ms,dataset_of_60s_time_signature,dataset_of_60s_chorus_hit,dataset_of_60s_sections,dataset_of_60s_target,dataset_of_60s_id_ano
"""In Like Flint: End Titles (Your Zowie Face) - From """"In Like Flint""""""",Jerry Goldsmith,spotify:track:3NlHn7YoncUikke1SnMciM,"0,428","0,226",0,"-11,94",0,"0,0349","0,874",0,"0,138","0,37","101,384",104067,4,"32,69869",7,0,3
"""Lara's Theme from """"Dr. Zhivago""""""",Roger Williams,spotify:track:00YhuN9oOmXUyLQiHjXPxt,"0,361","0,28",7,"-13,422",1,"0,0294","0,821","0,435","0,144","0,213","82,298",160173,3,"38,22192",8,1,3
"""Le nozze di Figaro. K.492 / Act 3: """"Sull’aria ... Che soave zeffiretto""""""",Wolfgang Amadeus Mozart,spotify:track:7oMlqOqSLszoitbRQTKAen,"0,218","0,0625",10,"-22,482",1,"0,0463","0,991","1,82E-05","0,427","0,0826","79,981",210533,4,"51,91726",9,0,3
"""Our Man Flint: Man Does Not Live By Bread Alone - From """"Our Man Flint""""""",Jerry Goldsmith,spotify:track:12hKVlXaG3KklBXHIwcDGc,"0,522","0,0902",0,"-22,234",1,"0,0279","0,691","0,448","0,116","0,288","95,872",142107,5,"38,47753",7,0,3
"""Our Man Flint: Never Mind. You'd Love It - From """"Our Man Flint""""""",Jerry Goldsmith,spotify:track:3DaaxlibCSs1IKhCytYxXK,"0,362","0,0719",9,"-28,739",1,"0,044","0,79","0,259","0,111","0,0619","98,836",91560,4,"41,31111",5,0,3
"""Parsifal: """"Wehevolles Erbe. dem ich verfallen""""""",Staatskapelle Berlin,spotify:track:1NI44QQk2rKTSOqrm6eT0Q,"0,147","0,246",1,"-16,997",1,"0,0504","0,964","0,115","0,113","0,0387","74,94",464533,4,"76,04885",18,0,3
"""Serenade in G Major. K. 525 """"Eine kleine Nachtmusik"""": II. Romance. Andante""",Wolfgang Amadeus Mozart,spotify:track:0QjhqYzNnicAaYdXIZtqJY,"0,28","0,0532",0,"-21,6",1,"0,0424","0,88","0,525","0,128","0,173","137,176",390707,4,"46,13748",16,0,3
"""Symphony No. 36 in C Major. K. 425 """"Linz"""": IV. Presto""",Wolfgang Amadeus Mozart,spotify:track:6Ud3U7aivkmBeGyi6bitRq,"0,298","0,209",0,"-15,301",1,"0,0343","0,892","0,921","0,198","0,343","81,843",314853,4,"43,20812",15,0,3
"""Take The """"A"""" Train""",Maynard Ferguson,spotify:track:0OOA8Spapd6e7egjXzO55Z,"0,468","0,756",0,"-7,37",1,"0,0969","0,619","0,956","0,319","0,718","124,191",166147,4,"30,49287",10,0,3
"""The """"In"""" Crowd""",Ramsey Lewis Trio,spotify:track:3l2pObHGPzGmgRWDlAbUJN,"0,652","0,515",7,"-19,55",1,"0,118","0,49","0,14","0,962","0,645","143,004",351427,4,"25,18887",17,1,3
"""The Aftermath (From """"Stagecoach"""")""",Jerry Goldsmith,spotify:track:6Rt6SJijLoLxTYwGX73JMQ,"0,491","0,0675",10,"-17,096",1,"0,0606","0,826","0,519","0,134","0,122","124,986",177387,4,"35,90329",7,0,3
"""The Bartered Bride. Act II: """"Eine gibt es hier im Dorf""""""",Staatskapelle Dresden,spotify:track:5sgSvbm0lQnUFKTzjsw32E,"0,354","0,123",9,"-17,119",1,"0,0398","0,977","0,000919","0,0962","0,096","129,039",392613,4,"44,20496",21,0,3
"""The Ecstasy of Gold (From """"The Good. the Bad and the Ugly"""")""",Ennio Morricone,spotify:track:6m4HWTYMRSJkaUuvXTaNmE,"0,138","0,712",0,"-5,271",1,"0,069","0,746","0,773","0,0714","0,133","99,877",203067,4,"31,95776",9,0,3
"""Zamba del """"Che""""""",Victor Jara,spotify:track:49M7vmWBb14WFH7dYxHEbb,"0,482","0,401",3,"-12,668",0,"0,0822","0,854","3,64E-06","0,0971","0,276","150,554",220102,4,"30,08093",11,0,3
(He's) Raining In My Sunshine,Jay & The Americans,spotify:track:120BvxQsMS1M41PdBClcxa,"0,478","0,298",2,"-13,842",1,"0,0342","0,74","1,11E-05","0,139","0,376","110,006",195733,4,"22,67291",13,1,3
(Say) You're My Girl,Roy Orbison,spotify:track:6qJSIEaUw2VDYRzzHcKjqm,"0,424","0,657",0,"-5,801",1,"0,0289","0,727","0,000162","0,153","0,85","155,56",165427,4,"60,6395",7,1,3
(The Lament Of The Cherokee) Indian Reservation,Don Fardon,spotify:track:04RM7D5FZzFahr4L6QOuW6,"0,805","0,473",10,"-12,999",1,"0,0507","0,24","0,00516","0,177","0,519","124,618",201200,4,"23,14466",14,1,3
(The Lights Went Out In) Massachusetts,Bee Gees,spotify:track:33YKKW1MaDUwq7GDw3WOqR,"0,404","0,498",2,"-8,227",1,"0,0278","0,149","0,00068","0,551","0,381","104,05",176320,4,"57,74002",9,1,3
(Theme From) Valley Of The Dolls,Dionne Warwick,spotify:track:021O8Fvrww2EJB8220tgXo,"0,23","0,273",5,"-13,277",1,"0,0352","0,871","2,21E-06","0,059","0,0868","74,919",218840,4,"68,85434",10,1,3
(You Don't Know) How Glad I Am,Nancy Wilson,spotify:track:4YkN3JlceD5n2aMqL1kFnH,"0,529","0,44",5,"-9,11",1,"0,0302","0,742","1,05E-05","0,328","0,611","103,669",157387,3,"61,51228",6,1,3
(You Make Me Feel) So Good,The McCoys,spotify:track:4V5RFkTNDTGjkHEkg31aQQ,"0,798","0,647",4,"-10,997",1,"0,0459","0,0366","0,051","0,168","0,854","111,872",161560,4,"26,38519",9,1,3
......And Roses And Roses,Andy Williams,spotify:track:3tvqPPpXyIgKrm4PR9HCf0,"0,154","0,185",5,"-14,063",1,"0,0315","0,911","0,000267","0,112","0,15","83,969",166107,4,"42,51415",10,1,3
...And Then There Were Drums,Sandy Nelson,spotify:track:1fHHq3qHU8wpRKHzhojZ4a,"0,588","0,672",11,"-17,278",0,"0,0361","0,00256","0,745","0,145","0,801","121,962",172067,4,"36,95147",8,1,3
18 - 39,Jane Birkin,spotify:track:2bk0KSjfpq6k0PVtUkp1fJ,"0,702","0,704",9,"-10,257",1,"0,181","0,0664",0,"0,225","0,816","116,491",158240,4,"53,29203",7,0,3
1969 (Alternate Vocal) - 2019 Remaster,The Stooges,spotify:track:2OzZCPqi3ErrHhZ36qhtRG,"0,479","0,849",2,"-5,249",1,"0,0393","0,000111","0,281","0,159","0,67","107,092",287173,4,"85,93246",9,0,3
245,Georges Arvanitas,spotify:track:3LcMItxo4rUKoDapUt7qqE,"0,361","0,35",5,"-10,755",0,"0,0356","0,918","0,891","0,105","0,29","61,126",277387,4,"92,0964",10,0,3
31 Flavors,The Shirelles,spotify:track:24mR7NmnxdNXxxYnZ4qOTf,"0,662","0,671",0,"-3,045",1,"0,0294","0,304",0,"0,341","0,92","130,922",118333,4,"38,32771",6,1,3
3rd Man Theme,Herb Alpert & The Tijuana Brass,spotify:track:2zj3dV24GbzQ7jNg8EwCgh,"0,553","0,677",4,"-10,831",0,"0,0712","0,423","0,962","0,185","0,768","153,174",153973,4,"36,52598",6,1,3
4 Dance Episodes from Rodeo: IV. Hoe Down,Aaron Copland,spotify:track:4MlV18v1ykCmP4HMpojqKl,"0,371","0,495",2,"-11,392",1,"0,0362","0,887","0,926","0,178","0,316","134,157",186173,4,"34,27121",11,0,3
A Bailar Pachanga,Tito Puente,spotify:track:7dgnjM8tE451pWOJ6uvyYE,"0,83","0,561",0,"-6,378",1,"0,0405","0,667","0,14","0,0573","0,959","111,524",128559,4,"36,79128",7,0,3
A Corner In The Sun,Walter Jackson,spotify:track:1DOQ4CSjYKvwQbFK0lGbj5,"0,417","0,469",7,"-10,513",1,"0,0342","0,74","1,59E-05","0,181","0,513","79,141",140800,4,"26,17464",9,1,3
A Day At The Races,Jerry Goldsmith,spotify:track:1zvWOEByl9RkpFXt8zSdS3,"0,674","0,184",5,"-19,764",1,"0,0657","0,955","0,709","0,0922","0,383","119,606",33888,3,0,2,0,3
A Day In The Life Of A Fool,Jack Jones,spotify:track:7nYBMEtMVLMAJQMpaQHULU,"0,253","0,235",10,"-12,934",0,"0,0301","0,813","0,0754","0,114","0,219","169,935",141800,4,"24,02949",10,1,3
A Festa dos Seus 15 Anos,Leño,spotify:track:6ON2VernjxCS5z6lHdoGFl,"0,521","0,396",5,"-12,299",1,"0,0463","0,576","0,000893","0,462","0,599","82,628",179600,4,"48,36482",8,0,3
A Joan Miró - En Directe,Raimon,spotify:track:66NK1aCyXDgegL99GPOjQP,"0,507","0,465",7,"-11,475",1,"0,337","0,847","3,04E-05","0,864","0,63","129,849",126632,4,"20,64855",7,0,3
A Man And The Blues,Buddy Guy,spotify:track:5vbw9boDHRHLZiv90e2ZVx,"0,504","0,212",0,"-16,756",1,"0,0408","0,893","0,22","0,0817","0,233","108,629",383200,4,"35,65767",17,0,3
A Praça É Do Povo,Sérgio Ricardo,spotify:track:2edSDicfMm0Q2rpUqqQWx2,"0,496","0,609",9,"-9,459",0,"0,0553","0,946","0,00176","0,268","0,809","113,16",172484,4,"26,78221",8,0,3
A Solitude,Denise Levertov,spotify:track:6edkgwJEzWTSxWpmkWX5Ta,"0,687","0,0509",7,"-19,173",1,"0,527","0,79",0,"0,18","0,255","75,577",219311,3,"27,66784",10,0,3
A Well Respected Man,The Kinks,spotify:track:5e3isD5st7PGYzSJuoRSIV,"0,53","0,873",4,"-5,105",0,"0,118","0,297",0,"0,0521","0,583","162,154",161587,4,"19,51348",8,1,3
A Woman Like You,Bert Jansch,spotify:track:30s8YVXKWmzRswub0XWXOA,"0,623","0,455",0,"-14,044",1,"0,0348","0,383","4,3E-05","0,112","0,417","98,673",262667,4,"36,02736",14,0,3
Abilene,George Hamilton IV,spotify:track:5bA26v8eeZrbHJpD4YPKAX,"0,63","0,448",5,"-15,015",1,"0,0271","0,445","1,43E-05","0,271","0,753","104,024",133333,4,"75,63479",4,1,3
Acompáñame,Enrique Guzman,spotify:track:3puWDsQy9x6GLKQMJjcrlj,"0,38","0,286",10,"-13,694",0,"0,029","0,671",0,"0,106","0,426","103,722",202160,4,"29,33468",12,0,3
Adéu. Adéu,Traditional,spotify:track:0udU0sUYzxhuLFB4JPZpA3,"0,237","0,188",1,"-19,85",1,"0,0467","0,993","0,201","0,118","0,0342","134,443",93927,5,"23,88634",6,0,3
Adeus Maria Fulô,Carmelia Alves,spotify:track:5Pe3CxnjO8ZFvCUyJqw1bw,"0,488","0,673",0,"-7,712",1,"0,0373","0,592",0,"0,453","0,849","99,261",180010,4,"40,68657",7,0,3
Adios Amigo,Jim Reeves,spotify:track:6J1HWy2pduS8uK2t6Xs0q2,"0,463","0,128",10,"-17,919",1,"0,0348","0,904","4,48E-06","0,0945","0,226","79,952",151173,3,"28,39038",10,1,3
Afternoon in Paris,Sonny Rollins,spotify:track:54jjVvxIktq9furJDf0i5s,"0,414","0,65",2,"-9,028",0,"0,0648","0,716","0,0252","0,291","0,51","175,245",163067,4,"33,32711",9,0,3
Ahir (Diguem No). Bis - En Directe,Raimon,spotify:track:6xMkhPUSeKTLWdAqJjXZsX,"0,408","0,443",1,"-14,326",1,"0,211","0,944","0,00189","0,809","0,692","130,216",189732,4,"42,38749",9,0,3
Ain't That Just Like Me,The Searchers,spotify:track:3OHz1Hr64jByifpOS61exg,"0,371","0,929",9,"-5,37",1,"0,133","0,646",0,"0,348","0,836","157,875",145227,4,"34,36707",7,1,3
Air,Cecil Taylor,spotify:track:4TAvzGjkslzvEFjCQUS5vA,"0,477","0,361",2,"-18,104",1,"0,0441","0,782","0,000117","0,131","0,387","78,191",525267,4,"21,43155",21,0,3
Al Vent - En Directe,Raimon,spotify:track:5teoxVNaUkRxDprzR0Zj1G,"0,446","0,538",4,"-11,805",0,"0,195","0,879","0,00229","0,952","0,786","144,075",163143,3,"70,95664",5,0,3
Alabam,Cowboy Copas,spotify:track:6x8EqpeM8XzeoEKfatpSYP,"0,719","0,653",2,"-11,572",1,"0,0305","0,378","0,00364","0,129","0,96","106,718",139907,4,"38,28275",9,1,3
Alejandra,Vicente Fernández,spotify:track:3zkUic9IGaNom8fIv05NwD,"0,379","0,276",9,"-10,561",0,"0,0465","0,747",0,"0,186","0,521","151,211",184133,3,"45,34149",11,0,3
Alfie,Cilla Black,spotify:track:2IqtBxwRgNOt7YWMmulrUZ,"0,306","0,257",10,"-10,658",1,"0,0309","0,941","0,00654","0,118","0,157","145,148",159760,4,"46,42505",8,1,3
Alfômega - Remastered 2006,Caetano Veloso,spotify:track:4DEodNc5zttV2UGiKMqtGw,"0,493","0,666",11,"-8,209",1,"0,0967","0,041","4,42E-05","0,351","0,519","123,446",357747,4,"90,21302",14,0,3
All Green,Xhol Caravan,spotify:track:61piCdBrx72ALp7C0XU8tR,"0,238","0,671",5,"-10,104",1,"0,0393","0,0112","0,869","0,0824","0,806","147,813",457400,4,"27,96282",24,0,3
All I Have To Do Is Take A Bite Of Your Apple?,Jerry Goldsmith,spotify:track:1SOYdjZir8SFSPcndij14Y,"0,105","0,195",8,"-17,114",0,"0,0411","0,877","0,886","0,121","0,313","177,895",136013,3,"24,3621",9,0,3
All Of Everything,Frankie Avalon,spotify:track:0wyxCvfSYetkMHOVqjpnC1,"0,247","0,283",9,"-10,62",1,"0,0299","0,785","1,27E-06","0,0634","0,486","185,624",151293,3,"36,02943",8,1,3
All The Love I've Got,Marv Johnson,spotify:track:79Ach1uD8Byx0FmwjwhU6i,"0,747","0,769",9,"-8,571",0,"0,0768","0,643",0,"0,2","0,825","130,627",153533,4,"26,79195",7,1,3
Allá en el Baile Grande,Los Relampagos Del Norte,spotify:track:6j8vimqDs0pfRpy3gf95JO,"0,788","0,521",8,"-9,12",1,"0,0366","0,249","9,68E-06","0,125","0,916","115,81",134699,4,"38,19377",8,0,3
Allons Gai Gai Gai,John Barry,spotify:track:531GbZ2Qj6b4RJPhyfQ5PI,"0,246","0,0378",9,"-32,85",0,"0,0396","0,991","0,853","0,088","0,0473","92,228",110600,4,"18,14763",8,0,3
Almost Persuaded,David Houston,spotify:track:2Krnm3qWdy4VG5vTkT0cDn,"0,251","0,338",8,"-11,897",1,"0,0382","0,861",0,"0,144","0,353","81,642",176360,3,"24,59656",7,1,3
Along The Santa Fe Trail,Clint Eastwood,spotify:track:6ct6fBgnfwKtNG89n0sicT,"0,414","0,29",1,"-12,859",1,"0,0339","0,77","0,000227","0,14","0,247","81,853",167480,4,"46,41523",7,0,3
Amazon,João Donato,spotify:track:4kje2h9dy1jHUqucGIAS6j,"0,579","0,489",4,"-16,461",0,"0,0297","0,694","0,238","0,111","0,924","141,932",150520,4,"20,687",10,0,3
Amen,Otis Redding,spotify:track:3uBtA78OM8o5HE2hTlKWfC,"0,612","0,136",7,"-12,687",1,"0,117","0,572",0,"0,234","0,535","101,785",186440,4,"28,71102",11,1,3
Amigo Velho,Luiz Gonzaga,spotify:track:3ArkRyB7hngpT88SrqxxQM,"0,664","0,714",5,"-7,752",1,"0,057","0,555",0,"0,173","0,962","176,097",138173,4,"39,00003",7,0,3
Amor,Ben E. King,spotify:track:2U95mnxcqpr394uCZncG4R,"0,548","0,566",10,"-11,876",1,"0,0307","0,672","1,22E-05","0,112","0,805","100,813",187400,4,"40,80977",10,1,3
Amor En Sombras,Vicente Fernández,spotify:track:4Cw2Kztoxx87fFnkCdPqu4,"0,556","0,337",4,"-6,181",0,"0,0288","0,351","7,88E-06","0,225","0,664","102,013",176800,4,"37,51731",11,0,3
Amore in fiore,Piero Piccioni,spotify:track:2r0ROCyDqxOUjEAKTveN9d,"0,094","0,104",7,"-22,329",0,"0,0316","0,985","0,943","0,158","0,0817","76,555",127107,1,"83,21777",5,0,3
Amore mio aiutami - Version 4,Piero Piccioni,spotify:track:4xMi9e6OS6ouBoLch3Eap6,"0,213","0,168",5,"-20,315",1,"0,0382","0,952","0,69","0,136","0,206","122,744",123187,3,"61,8196",5,0,3
Amore mio aiutami - Version 6,Piero Piccioni,spotify:track:17IoJ4OxBO1Ddlub4hrOkk,"0,284","0,081",5,"-22,396",1,"0,0344","0,914","0,467","0,122","0,342","91,975",181080,4,"34,10252",10,0,3
Amore Scusami,Jerry Adriani,spotify:track:2OVRWyCBZEbMyc5nVHvMrH,"0,332","0,498",2,"-7,33",1,"0,0356","0,662",0,"0,162","0,466","110,624",174973,3,"32,67467",8,0,3
Angel,Johnny Tillotson,spotify:track:30Y2TmGEuFdIUX6Pm5nCjn,"0,344","0,431",4,"-9,631",1,"0,0314","0,793",0,"0,19","0,688","105,97",176667,3,"60,09674",7,1,3
Angelica,Scott Walker,spotify:track:2u8lxnnsaMVhHScNWKC1MT,"0,277","0,36",9,"-16,67",1,"0,0333","0,574",0,"0,569","0,351","109,777",239413,4,"33,64309",13,0,3
Anno Domini,Miklós Rózsa,spotify:track:4aIlRVmZgs3iFX1uvQuAOj,"0,191","0,11",5,"-17,857",0,"0,0369","0,936","0,971","0,304","0,204","119,084",92640,4,"37,57055",4,0,3
Another Day. Another Heartache,The 5th Dimension,spotify:track:3UNRKPYWymKfXv7qvQiSQ2,"0,6","0,61",4,"-11,434",1,"0,0271","0,0257","0,000278","0,117","0,789","108,312",151920,4,"33,37726",8,1,3
Any Way You Want It,The Dave Clark Five,spotify:track:6g4vZLJ4nwr1GAleneXPkx,"0,282","0,937",9,"-8,175",1,"0,09","0,0107",0,"0,293","0,194","145,872",149733,4,"25,12621",9,1,3
Ao Entardecer (Deep Purple),Leño,spotify:track:1xqMn60UEzwuxpiAG62Pse,"0,526","0,419",2,"-9,889",1,"0,0299","0,906","1,7E-06","0,234","0,636","121,959",152933,4,"23,63121",10,0,3
Apologize,Ed Ames,spotify:track:5aJozu8lCjc1O14LsjNWdj,"0,411","0,505",11,"-9,282",1,"0,0427","0,472",0,"0,129","0,486","89,803",125133,4,"32,0097",6,1,3
April In Paris,Elmer Bernstein,spotify:track:6Npo5aA13mtdK82Q2pKoLK,"0,575","0,219",6,"-17,493",1,"0,0484","0,549","0,0329","0,111","0,464","95,281",170027,4,"74,31895",7,0,3
Aquarius,Gerald Wilson Orchestra,spotify:track:5oOGm83QEVlKmYNBBp1pw6,"0,387","0,495",9,"-8,923",0,"0,0283","0,487","0,00814","0,112","0,58","143,993",182640,4,"42,23437",9,0,3
Are You There (With Another Girl),Dionne Warwick,spotify:track:2r7yNV824MtgwOlMAiBHiG,"0,711","0,34",2,"-15,446",1,"0,0411","0,746","0,000758","0,214","0,664","120,818",172333,4,"29,87869",11,1,3
Arietis - Remastered,Freddie Hubbard,spotify:track:2rvlhyiUa082VRTa3OFgmh,"0,462","0,475",2,"-11,381",0,"0,0366","0,538","0,000103","0,156","0,619","122,005",401560,4,"46,73581",16,0,3
Arizona,Mark Lindsay,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,"0,479","0,453",3,"-12,806",1,"0,0472","0,225","0,00038","0,143","0,756","81,18",188133,4,"31,42769",8,1,3
Ashes To Ashes,The Mindbenders,spotify:track:191DgdaA60I9kFUZR4KytF,"0,646","0,329",5,"-12,575",1,"0,306","0,96","2,97E-06","0,393","0,649","109,705",228536,4,"75,26208",9,1,3
At The Scene,The Dave Clark Five,spotify:track:0yYUeEc8Wp7c5pHPvDbRTO,"0,607","0,67",0,"-8,887",1,"0,0448","0,0102",0,"0,076","0,907","127,101",111733,4,"36,8496",6,1,3
Athai Madi,P. Susheela,spotify:track:3He5oRgHNdHMFiDawoK9CT,"0,523","0,37",5,"-8,315",1,"0,0349","0,874","0,000749","0,147","0,817","119,662",206600,3,"21,07636",12,0,3
Atlantis,Donovan,spotify:track:0kcEK7YuNNfE7jiTnXS1cm,"0,326","0,313",0,"-16,17",1,"0,0348","0,177","0,000569","0,0828","0,344","76,785",302640,4,"33,53011",13,1,3
Autumn's Child - Mono,Captain Beefheart & His Magic Band,spotify:track:2XefTDCeMPjImQR8sJFwvo,"0,376","0,453",4,"-10,865",0,"0,0343","0,312","0,000364","0,0723","0,488","72,296",235933,4,"38,18663",10,0,3
Away in a Manger - Remastered 1997,Traditional,spotify:track:5qNl8ZLrogSkVb3NkBaWfV,"0,16","0,112",7,"-26,758",1,"0,0416","0,934","0,702","0,128","0,112","73,111",263707,3,"45,61521",14,0,3
Babarabatiri - Live In Puerto Rico / 1963,Tito Puente,spotify:track:0zrktwkID2FyITcV7k2l0O,"0,632","0,925",0,"-5,148",1,"0,0751","0,733","6,17E-05","0,274","0,857","100,875",224726,4,"29,94239",12,0,3
Babarabatiri - Live In Puerto Rico / 1963,Tito Puente,spotify:track:6i31BIjgh7ciymckdpf0oA,"0,666","0,909",4,"-7,103",0,"0,0639","0,637","0,000164","0,288","0,88","100,577",222089,4,"30,01376",11,0,3
Baby Come Home,Ruby And The Romantics,spotify:track:2bC4lZSV2Ulp3v6XZr8CrP,"0,612","0,683",10,"-8,53",1,"0,0272","0,784",0,"0,305","0,931","106,801",142907,4,"50,21895",8,1,3
Baby It's You,Smith,spotify:track:2KSwmLHkgjZCE49YFkgspo,"0,595","0,471",1,"-10,626",0,"0,0295","0,0156","0,127","0,173","0,707","95,417",207613,4,"32,21417",10,1,3
Baby Let's Wait,The Royal Guardsmen,spotify:track:2B2K73RtU1ne3e5LlsTueE,"0,317","0,337",4,"-11,311",1,"0,0293","0,7","4,33E-05","0,134","0,394","83,267",159493,4,"27,89031",9,1,3
Baby Love,The Supremes,spotify:track:5uES1C2NgkdrNHiCwf9jRr,"0,595","0,643",5,"-9,275",1,"0,0365","0,76",0,"0,538","0,73","135,633",158040,4,"25,9394",12,1,3
Baby You're A Rich Man,The Beatles,spotify:track:0JBvtprXP2Z0LP3jmzA7Xp,"0,619","0,625",7,"-9,635",1,"0,036","0,0119","1,05E-06","0,152","0,467","96,751",181307,4,"21,41004",9,1,3
Badge,Cream,spotify:track:08xsXR637CEqbxJmpFcuSA,"0,596","0,575",4,"-14,254",0,"0,04","0,449","0,000104","0,0839","0,745","107,573",164707,4,"33,70329",6,1,3
Ballad Of Two Brothers,Autry Inman,spotify:track:4DPTB97GjKGuA9zBp1FhuV,"0,536","0,536",5,"-11,223",1,"0,134","0,454",0,"0,114","0,761","139,517",211240,3,"26,74537",9,1,3
Ballade pour toi (Ce que je cherche est en toi),Michel Polnareff,spotify:track:4w27C2NCcLuCmr3omUXH89,"0,369","0,386",4,"-9,105",1,"0,03","0,866","8,37E-06","0,122","0,325","116,428",160267,4,"22,81274",11,0,3
Bally Mena,Harry Belafonte,spotify:track:5vORdDGQ6CKmkTGzdj9I90,"0,493","0,189",4,"-13,853",1,"0,0298","0,898",0,"0,149","0,507","97,758",206890,4,"22,79889",11,0,3
Bandit Of My Dreams,Eddie Hodges,spotify:track:2HzOTwIfaNsdsr1KVtuID7,"0,752","0,471",8,"-11,308",1,"0,0758","0,402",0,"0,155","0,94","110,226",123333,4,"39,66865",6,1,3
Barbara Ann,The Beach Boys,spotify:track:2KOt2JrCB720UxIbyzweQo,"0,581","0,669",6,"-3,659",1,"0,0385","0,19",0,"0,243","0,926","78,073",133893,4,"21,05367",7,1,3
Barocco,Piero Piccioni,spotify:track:1LSyCTU4wMxMtSmmA2mF8j,"0,201","0,178",9,"-16,461",0,"0,0334","0,916","0,906","0,0565","0,0519","80,312",343973,4,"53,46055",17,0,3
Bata Rhythm,Julio Gutierrez,spotify:track:3tC8PFoFvbN3rT2l6P0xQQ,"0,505","0,758",1,"-13,312",1,"0,177","0,808","1,1E-05","0,0583","0,764","91,686",353637,3,"28,48978",16,0,3
Bataille,André Hossein,spotify:track:5YSdwS3dFN8rYreMDfdwBk,"0,531","0,671",7,"-10,819",0,"0,0488","0,794","0,508","0,136","0,249","86,153",193359,4,"76,87267",6,0,3
Bataille de Zaccar,André Hossein,spotify:track:61ILHTqx5rkHXRXPUWQFxi,"0,34","0,477",2,"-12,165",1,"0,0476","0,649","0,762","0,193","0,219","178,089",177775,4,"58,79819",8,0,3
