dataset_of_00s_track,dataset_of_00s_artist,dataset_of_00s_uri,dataset_of_00s_danceability,dataset_of_00s_energy,dataset_of_00s_key,dataset_of_00s_loudness,dataset_of_00s_mode,dataset_of_00s_speechiness,dataset_of_00s_acousticness,dataset_of_00s_instrumentalness,dataset_of_00s_liveness,dataset_of_00s_valence,dataset_of_00s_tempo,dataset_of_00s_duration_ms,dataset_of_00s_time_signature,dataset_of_00s_chorus_hit,dataset_of_00s_sections,dataset_of_00s_target,dataset_of_00s_id_ano
1. 2. 3. 4,Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,"0,458","0,55",2,"-7,092",1,"0,0262","0,566","1,39E-05","0,108","0,56","90,56",198360,4,"22,42462",10,1,1
1000 Estrellas,Charlie 3,spotify:track:4dk59nVJKBJCPupuL6RGae,"0,473","0,722",5,"-5,176",1,"0,0358","0,00507",0,"0,377","0,549","149,625",256000,4,"40,17949",11,0,1
1995,H2O,spotify:track:2qvZmhlxHdyBqAX5ZWjukK,"0,531","0,991",9,"-5,681",1,"0,13","0,006",0,"0,279","0,257","111,998",154000,4,"93,37847",4,0,1
3 Little Words,Nu Flavor,spotify:track:4alLyN9my0O1SD9y097cPl,"0,709","0,469",11,"-7,083",0,"0,0278","0,504",0,"0,045","0,256","113,986",256307,4,"25,51897",11,1,1
3's & 7's,Queens of the Stone Age,spotify:track:63wsuMhok6GgcBRd2strGk,"0,438","0,99",10,"-3,89",0,"0,108","0,0651","0,0222","0,359","0,452","131,306",214067,4,"40,38426",9,0,1
4 Cornish Dances. Op. 91: Four Cornish Dances. Op. 91: No. 2. Andantino,Malcolm Arnold,spotify:track:4nyb2Lm5jYBnenw8KVUZzr,"0,105","0,0315",2,"-36,662",1,"0,0414","0,952","0,808","0,076","0,0349","158,256",189067,1,"110,48467",7,0,1
5 Star,Yo Gotti,spotify:track:6N9wsG0HYEpGEr0Ihgbz5r,"0,715","0,809",9,"-5,598",1,"0,205","0,0607",0,"0,352","0,636","76,493",247440,4,"29,85259",9,1,1
7 Days,Craig David,spotify:track:0gPQTLaqHDgdupKEok7J2x,"0,659","0,812",4,"-7,499",0,"0,0487","0,23",0,"0,0951","0,888","83,013",235133,4,"25,46132",12,1,1
7 Songs on Chinese Poems. Op. 71 No. 4: Traveling Song,Alexander Tcherepnin,spotify:track:1VAljuZRSK9hdWrowK8WAy,"0,585","0,123",3,"-13,695",1,"0,0711","0,99","0,0104","0,143","0,969","115,145",102907,4,"35,1975",6,0,1
99.9% Sure (I've Never Been Here Before),Brian McComas,spotify:track:14ymPtb1n06KzSm0J9bmMZ,"0,606","0,959",7,"-3,412",1,"0,0522","0,0714",0,"0,236","0,734","116,014",193293,4,"59,85298",8,1,1
A Brief Walk in the Sea,Near The Parenthesis,spotify:track:1O3wMxzAagYQ336rdfH9bQ,"0,157","0,58",0,"-12,5",0,"0,0438","0,762","0,925","0,124","0,183","191,214",424867,5,"32,68671",15,0,1
A Celebration For The Death Of Man,Agalloch,spotify:track:0t4BqNdnmncQyZoot8pu6S,"0,555","0,562",4,"-9,163",0,"0,0342","0,338","0,942","0,281","0,228","115,082",144333,4,"93,44488",4,0,1
A Child Is Born,Jon Kennedy,spotify:track:6GFDygDJvoYm4NHECc8BIR,"0,676","0,73",9,"-10,381",1,"0,0296","0,393","0,125","0,136","0,664","104,001",216533,4,"42,74351",8,0,1
A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,spotify:track:5pinOKTQyPCPpgjIOKVFY3,"0,669","0,592",7,"-4,628",1,"0,0317","0,166",0,"0,114","0,51","75,938",237667,4,"23,61273",11,1,1
A Different World,Bucky Covington,spotify:track:0E0B8a7LSVgbQL160oUnwO,"0,62","0,686",9,"-5,027",1,"0,0276","0,0327",0,"0,101","0,464","128,962",208573,4,"16,46621",12,1,1
Aaj Mausam Bada Be-Iman Hai,Mohammed Rafi,spotify:track:3ptSDu7LuyCGaXaD38MEfP,"0,336","0,449",0,"-13,267",1,"0,0367","0,9",7E-05,"0,109","0,547","139,13",379867,4,"46,31308",16,0,1
Aarariraro,K. J. Yesudas,spotify:track:3GoPqEYzMI9pKA1SeLJWp8,"0,764","0,398",5,"-11,501",0,"0,0457","0,303","0,00145","0,0993","0,507",135,286560,4,"21,07312",14,0,1
Absolute,The Fray,spotify:track:6sSDEFMeyf16WRDLRCXwTc,"0,413","0,836",3,"-5,593",1,"0,0371","0,0316",0,"0,293","0,503","140,515",227080,4,"20,73541",12,1,1
According To You,Orianthi,spotify:track:72phhQtfwZcRweweRxxkmU,"0,619","0,917",5,"-2,582",1,"0,0507","0,0233","1,21E-05","0,0986","0,552","131,002",200347,4,"33,97347",7,1,1
Action Woman,The Litter,spotify:track:15zIQqm0iq5gi5nwkOEQPJ,"0,322","0,672",0,"-7,391",1,"0,0379","0,0659","2,39E-05","0,165","0,536","133,887",153227,4,"43,62758",9,0,1
After Party,Koffee Brown,spotify:track:5cvMzT7kEvcxcdtcJz1vQY,"0,802","0,552",5,"-4,796",0,"0,0503","0,0492","1,7E-06","0,0224","0,601","105,481",214560,4,"45,95399",7,1,1
Afterhours - deadmau5 Electro House Remix,Melleefresh,spotify:track:6MArFHinfdGq5mKrFIupax,"0,829","0,672",11,"-7,022",0,"0,128","0,000198","0,314","0,0502","0,621","127,979",333750,4,"30,00636",11,0,1
Again,Faith Evans,spotify:track:17Yws6NV4W7lAGPtq4UPIT,"0,489","0,763",7,"-6,077",1,"0,24","0,0158",0,"0,42","0,362","173,822",198787,4,"41,44659",11,1,1
Ain’t No Punk,Do Or Die,spotify:track:3HBqW9YwtLl92snLI9PEuu,"0,862","0,633",6,"-6,152",1,"0,121","0,0401","1,38E-06","0,132","0,246","129,913",249533,4,"19,00151",10,0,1
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,spotify:track:5ahFyKndeg1hqfmNumL3WF,"0,781","0,746",8,"-2,686",1,"0,17","0,364",0,"0,098","0,786","89,43",229800,4,"26,64298",10,1,1
Ain't No Rest For The Wicked,Cage The Elephant,spotify:track:3Pzh926pXggbMe2ZpXyMV7,"0,634","0,849",0,"-7,075",1,"0,105","0,0438",0,"0,363","0,919","156,004",175493,4,"62,05589",8,1,1
Ain't Nothing 'Bout You,Brooks & Dunn,spotify:track:2BPiamp7M8ARGtxjNyTZWf,"0,676","0,753",8,"-6,239",0,"0,0252","0,0957",0,"0,362","0,772","96,993",241093,4,"29,78065",9,1,1
Air War,Crystal Castles,spotify:track:2XlX9lecuf3Y14fzLYOxmu,"0,769","0,806",0,"-3,833",1,"0,0873","0,0482","0,0627","0,705","0,517","120,001",252267,4,"49,2282",11,0,1
Airport Sadness - 2008 Remaster,Brad Mehldau,spotify:track:0vqknpE0wpLA17uYiv4kUv,"0,444","0,0162",5,"-27,773",1,"0,0452","0,993","0,922","0,0873","0,079","100,364",284213,4,"29,45978",15,0,1
Akkam Pakkam,Sadhana Sargam,spotify:track:3eeUvZTgP5uJfOMqI3sUVq,"0,773","0,628",11,"-6,737",0,"0,0425","0,108","0,00119","0,246","0,588","119,96",316000,4,"42,01564",17,0,1
All Eyez On Me,Monica,spotify:track:0rHehT9M8peRzeV1O1FeOk,"0,758","0,739",7,"-4,429",1,"0,0405","0,0281","0,000146","0,0439","0,848","108,995",238773,4,"33,40802",11,1,1
All Falls Down,Adelitas Way,spotify:track:3Fi7TFbkTlr1vvBP1mFuYg,"0,497","0,725",2,"-5,296",0,"0,0265","0,00338","5,39E-06","0,134","0,284","134,987",233360,4,"42,79016",9,0,1
All Hail Shadow,Crush 40,spotify:track:0O2TR0dmwnPejopBpMpv9e,"0,308","0,934",7,"-6,939",1,"0,0824","2,35E-06","3,69E-06","0,0896","0,419","170,009",241693,4,"21,19217",9,0,1
All I Ever Wanted,Chuck Wicks,spotify:track:6RKrORavcsGPPrkRzkU14H,"0,538","0,773",11,"-4,659",1,"0,0281","0,0268",0,"0,0829","0,611","94,053",207333,4,"18,90371",14,1,1
All I Want To Do,Sugarland,spotify:track:1mJ05BN0So26a14iib85aI,"0,709","0,725",4,"-4,999",1,"0,0556","0,208","4,54E-05","0,158","0,759","97,046",213360,4,"28,35802",6,1,1
All over You,The Spill Canvas,spotify:track:4b9jRNwMUvABxTD1amyfA6,"0,554","0,941",10,"-3,159",0,"0,0347","0,00848",0,"0,102","0,524","134,916",202432,4,"27,6613",8,0,1
All The Right Moves,OneRepublic,spotify:track:5XRHGXut00SrJUFmcn2lQF,"0,529","0,948",0,"-3,527",1,"0,0474","0,258","9,35E-06","0,283","0,65","146,024",238000,4,"25,16272",11,1,1
Almost Home,Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,"0,525","0,481",8,"-6,715",1,"0,0251","0,302",0,"0,121","0,237","75,974",289000,4,"42,11222",11,1,1
Already Gone,Sugarland,spotify:track:6Gd842MwS4ySeBdQTU09sh,"0,48","0,596",1,"-5,844",1,"0,03","0,214","1,06E-05","0,151","0,332","154,769",275867,3,"31,39965",12,1,1
Alright,Darius Rucker,spotify:track:5JlH51YDYsGj2dyEJKKjcN,"0,601","0,806",7,"-4,579",1,"0,0345","0,0527",0,"0,185","0,711","89,87",231920,4,"21,66591",9,1,1
Always On Time,Ja Rule Featuring Ashanti,spotify:track:4hrae8atte6cRlSC9a7VCO,"0,84","0,706",5,"-6,104",0,"0,2","0,208",0,"0,241","0,839","96,673",245133,4,"42,91774",8,1,1
Always On Your Side,Sheryl Crow & Sting,spotify:track:7FqDLD2f3VFdCYPCFpNvYq,"0,519","0,553",5,"-4,702",1,"0,0264","0,543",0,"0,139","0,251","140,164",251373,4,"45,76804",10,1,1
Alyssa Lies,Jason Michael Carroll,spotify:track:3PJq5Cu74e3bIes9sY7jM1,"0,496","0,602",7,"-5,29",1,"0,0265","0,334","0,00356","0,147","0,398","75,519",259573,4,"27,90126",10,1,1
AM To PM,Christina Milian,spotify:track:4e4dNzVG8DBQqbhX57Wxe8,"0,872","0,86",0,"-3,488",0,"0,131","0,158","1,41E-05","0,833","0,855","104,956",233587,4,"54,45268",9,1,1
Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,"0,491","0,776",2,"-3,887",1,"0,0393","0,314",0,"0,146","0,428","154,988",202547,4,"37,86861",9,1,1
American Hearts,Piebald,spotify:track:54iFiXjzfBObEY1WUOy52d,"0,371","0,965",9,"-2,902",1,"0,119","0,0178","1,1E-06","0,21","0,384","165,929",208333,4,"47,53544",8,0,1
American Pie,Madonna,spotify:track:1vo6TY0FyLRBTXohxvflhJ,"0,631","0,734",5,"-7,48",0,"0,036","0,348",0,"0,135","0,591","124,036",273533,4,"41,05767",12,1,1
American Saturday Night,Brad Paisley,spotify:track:7xJqaCgeteqWPogqjjxkBl,"0,487","0,938",4,"-5,466",1,"0,0533","0,0721","2,63E-05","0,522","0,733","157,795",274200,4,"26,73053",12,1,1
Amesoeurs,Amesoeurs,spotify:track:0tVp8zfnp5fbnKO9axKaqX,"0,482","0,637",9,"-10,568",1,"0,0266","0,000135","0,782","0,0643","0,404","160,056",243467,4,"30,54128",12,0,1
Ammunition,Synapscape,spotify:track:48UiA9vsN4blMIQ0Lx2Blv,"0,165","0,582",5,"-9,576",0,"0,0807","0,00461","0,165","0,255","0,0754","84,279",267013,4,"36,3213",10,0,1
Ancient War,Crypt Of Kerberos,spotify:track:1Fd0dlHs21hRbfZtBiGIK1,"0,171","0,948",3,"-8,171",0,"0,123","1,12E-05","0,92","0,341","0,0393","81,483",209333,4,"45,91581",9,0,1
And Here We Test Our Powers Of Observation,The Bad Plus,spotify:track:2fNCSdonK3E2ODMvAUx92e,"0,367","0,833",8,"-8,8",1,"0,0322","0,197","0,803","0,136","0,491","93,08",261400,4,"16,78397",15,0,1
Angel,Shaggy Featuring Rayvon,spotify:track:7FDV5ELOJHCGLe52AnttEd,"0,74","0,766",6,"-2,939",1,"0,178","0,116",0,"0,0406","0,807","170,531",235133,4,"24,54957",12,1,1
Angelfangs,Cobalt,spotify:track:7lg2GumTOf7N69NyYexr1m,"0,163","0,994",11,"-5,651",1,"0,248","1,01E-05","0,116","0,504","0,0466","95,434",385533,4,"24,13964",16,0,1
Angels In Waiting,Tammy Cochran,spotify:track:74h3Wdt3mkmA9GX3qqkkbH,"0,691","0,366",6,"-7,565",1,"0,028","0,565",0,"0,127","0,278","88,782",217667,4,"42,75747",10,1,1
Anglaise,Trio Mio,spotify:track:6qBTwtvXwU1SClZMz28eZK,"0,383","0,161",7,"-10,227",1,"0,031","0,976","0,00685","0,131","0,391","92,98",280200,4,"24,29689",15,0,1
Another Postcard (Chimps),Barenaked Ladies,spotify:track:6rMx1neL9mLYivQ5U6PFk3,"0,621","0,747",1,"-6,552",0,"0,0782","0,00227","0,000234","0,0449","0,726","172,31",205267,4,"63,6742",8,1,1
Anphisbena,Opera IX,spotify:track:0m44z5yhxeWssBgxf2sBTv,"0,075","0,858",9,"-5,01",0,"0,0651","2,71E-06","0,79","0,0395","0,31","61,106",462400,4,"37,73448",20,0,1
Apocalyptic Havoc,Goatwhore,spotify:track:4Tv4X669iTNi4NkFzjerDT,"0,212","0,979",10,"-5,088",0,"0,145","1,63E-05","0,0249","0,171","0,386","160,053",196053,4,"51,88201",9,0,1
Apply Some Pressure,Maximo Park,spotify:track:19503qDaxgCdPL2BhJngij,"0,378","0,953",9,"-3,632",1,"0,138","0,000719","2,89E-05","0,0936","0,512","167,808",200347,4,"20,58661",12,0,1
Aquí,Allison,spotify:track:5UXDQ8f5UN5FNZ48WHmrMC,"0,383","0,742",10,"-5,589",1,"0,043","0,0207",0,"0,101","0,283","180,142",240267,4,"26,95208",12,0,1
Arctic,Valhall,spotify:track:4c3TPYPHOgChuFnzECCZPX,"0,277","0,836",2,"-6,563",1,"0,0458","0,000225","0,0284","0,117","0,351","95,514",267128,4,"23,12976",10,0,1
Are You Gonna Be My Girl,Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,"0,613","0,953",2,"-3,435",1,"0,0855","0,00148","0,000582","0,152","0,537","105,046",213800,4,"20,87996",7,1,1
As Good As I Once Was,Toby Keith,spotify:track:7G6l2FtQyRhQgYgut2I6i8,"0,68","0,87",5,"-4,461",1,"0,0393","0,266",0,"0,109","0,646","119,075",227840,4,"57,79785",10,1,1
As Your Casket Closes,Ghoul,spotify:track:0GcQGfOsWYrZNyjYAhW6l8,"0,236","0,928",2,"-9,128",1,"0,043","3,7E-05","0,827","0,14","0,539","160,776",216027,4,"37,63907",13,0,1
At The End Of The Day,Amon Tobin,spotify:track:2kmOzndbVl8GomtgVGmEHS,"0,465","0,78",8,"-7,064",1,"0,0323","0,264","3,68E-05","0,35","0,329","81,989",192200,4,"50,52402",7,0,1
Atravessar,Jazz Juice,spotify:track:1fhgkwVBCCABBWhqBf0YIJ,"0,719","0,85",3,"-8,255",0,"0,0416","0,0134","0,743","0,0922","0,687","120,02",377746,4,"34,14187",19,0,1
Austin,Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P,"0,605","0,609",7,"-7,063",1,"0,0278","0,188",0,"0,0982","0,275","119,914",230333,4,"40,549",10,1,1
Avril 14th,Aphex Twin,spotify:track:2MZSXhq4XDJWu6coGoXX1V,"0,558","0,0259",8,"-30,016",1,"0,0458","0,996","0,871","0,0969","0,37","157,811",125520,4,"61,62012",6,0,1
Awful. Beautiful Life,Darryl Worley,spotify:track:5uqbTKo8Ogq1sBQ3u940Xz,"0,627","0,777",2,"-6,91",1,"0,0322","0,0189","1,09E-06","0,173","0,643","112,599",232800,4,"35,66354",11,1,1
B.Y.O.B.,System Of A Down,spotify:track:0EYOdF5FCkgOJJla8DI2Md,"0,556","0,981",1,"-2,688",0,"0,128","0,00662",0,"0,218","0,716","101,423",255467,4,"41,4057",12,1,1
Baby,Ashanti,spotify:track:6pWzCKTrKrwbUPzY8RLCoP,"0,71","0,795",4,"-3,005",0,"0,0593","0,409",0,"0,16","0,852","94,997",209120,4,"19,9631",12,1,1
Baby It's You,JoJo Featuring Bow Wow,spotify:track:5TV96lkS2NF6kzILjORzLs,"0,858","0,607",1,"-4,199",1,"0,118","0,0169","3,97E-05","0,0777","0,821","119,986",188293,3,"66,31259",9,1,1
Baby Please,Allison,spotify:track:2JMLgdz2Y5CnNPE70A1OYK,"0,628","0,541",1,"-5,568",1,"0,0246","0,292",0,"0,0933","0,443","102,513",157960,4,"49,69981",7,0,1
Baby U Are,Gerald Levert,spotify:track:4z9aQnKnoM0cDrLkUXdbPr,"0,657","0,537",6,"-7,825",0,"0,199","0,0196","5,55E-06","0,102","0,636","172,212",317067,4,"25,7608",16,1,1
Bad Attitude,Darkthrone,spotify:track:2a9ZwbOpnfAx1WGq6JPp14,"0,144","0,983",9,"-1,258",1,"0,0914","0,0479","1,6E-05","0,0361","0,577","188,972",107067,4,"27,50289",7,0,1
Bad Girl,New York Dolls,spotify:track:1d4shsNrsbescNJujez53D,"0,351","0,928",4,"-15,203",1,"0,0504","0,0837","7,75E-06","0,384","0,196","133,698",207720,4,"29,4699",12,0,1
Bad Girlfriend,Theory Of A Deadman,spotify:track:5m7on0zpnmeAXy72ANrmfU,"0,504","0,957",0,"-2,657",1,"0,0529","0,00298",0,"0,187","0,676","135,013",205627,4,"30,8412",10,1,1
Bad Habits,Maxwell,spotify:track:0f62w1teOSaYgKObtzygaR,"0,661","0,67",11,"-7,645",0,"0,258","0,0873","2,01E-06","0,0794","0,661","148,02",352280,4,"67,8362",14,1,1
Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,spotify:track:1Epb6Kfe3GTgKrrWs1Y4Wy,"0,585","0,697",1,"-6,126",0,"0,357","0,0339",0,"0,255","0,402","133,177",225187,5,"31,4295",10,1,1
Balla Baby,Chingy,spotify:track:6HFXjB2fvQUBuE3B5kmvfW,"0,928","0,643",11,"-5,48",0,"0,0759","0,0527",0,"0,0988","0,895","93,006",215907,4,"26,76394",9,1,1
Banana Boat (Day-O) - Remastered,Harry Belafonte,spotify:track:6FH2WiSVFv5qglEg1O8xNn,"0,639","0,0996",0,"-16,144",1,"0,0992","0,949","0,00273","0,105","0,359","121,289",184693,4,"29,16779",6,0,1
Barlights,fun.,spotify:track:4HBeHxm71PBKrc6MGtnAaZ,"0,553","0,724",9,"-5,531",1,"0,067","0,16",0,"0,0959","0,508","133,978",257360,4,"37,96721",8,0,1
Barrage of Noise,Hirax,spotify:track:3W6vdOo00jNVvPJhvteeRh,"0,371","0,738",6,"-7,707",1,"0,299","0,0187","3,94E-06","0,381","0,336","98,811",140053,4,"46,15147",6,0,1
Be Like That,3 Doors Down,spotify:track:30lK6CcrHYtmw7wLd3h41t,"0,484","0,671",7,"-6,696",1,"0,0247","0,00546","2,16E-05","0,115","0,288","96,118",236293,4,"74,05869",8,1,1
Be With You,Enrique Iglesias,spotify:track:1lZ4j5WBURBwZ0M5TT46wP,"0,69","0,871",1,"-5,484",0,"0,0329","0,0359","0,000843","0,0347","0,561","121,984",220160,4,"42,31468",9,1,1
Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,"0,457","0,573",5,"-3,866",0,"0,0275","0,578","3,05E-06","0,114","0,0992","76,193",238560,4,"29,82293",11,1,1
Beautiful Goodbye,Jennifer Hanson,spotify:track:5RUDbG8eDCHatEOo8Cu3t8,"0,623","0,878",2,"-3,662",1,"0,0372","0,146","0,00191","0,137","0,608","113,225",258360,4,"48,1559",11,1,1
Because Of You,Kelly Clarkson,spotify:track:3f3omU8n47Mqyab5nCaGyT,"0,583","0,584",5,"-5,362",0,"0,0314","0,254",0,"0,123","0,136","140,039",219493,4,"39,06201",9,1,1
Because Of You,Ne-Yo,spotify:track:6CFPFnS9EcLs2I0nWqtWci,"0,81","0,538",0,"-5,784",0,"0,0356","0,528",0,"0,0951","0,828","109,97",266840,4,"24,35569",9,1,1
Because Of You,Reba McEntire Duet With Kelly Clarkson,spotify:track:3f3omU8n47Mqyab5nCaGyT,"0,583","0,584",5,"-5,362",0,"0,0314","0,254",0,"0,123","0,136","140,039",219493,4,"39,06201",9,1,1
Becoming the Bull,Atreyu,spotify:track:2MMrjobPrVLrozyfFXsFJx,"0,488","0,936",1,"-3,431",1,"0,0699","0,000435",1E-05,"0,106","0,398","95,009",220600,4,"26,31409",8,0,1
Bed,J. Holiday,spotify:track:6TlRNJaezOdzdECnQeRuMM,"0,684","0,606",5,"-7,268",0,"0,0504","0,17",0,"0,058","0,723","127,901",275107,4,"41,49527",13,1,1
Beer For My Horses,Toby Keith Duet With Willie Nelson,spotify:track:7E2DqvnVtbIrFrL5X6YH9Q,"0,717","0,85",10,"-5,329",1,"0,0473","0,368",0,"0,0495","0,805","119,005",204000,4,"30,96252",12,1,1
Beggin',Madcon,spotify:track:5SlHTXLWa0nvh8VtGgKlJB,"0,731","0,718",4,"-7,51",0,"0,0672","0,0226",0,"0,0518","0,428","129,053",216520,4,"56,88443",6,1,1
Bemoaned Animosity,Final Breath,spotify:track:5LF4eVyrf9k1ZbzlNZ6Yyx,"0,44","0,981",2,"-1,354",1,"0,145","2,56E-05","0,00403","0,2","0,328","117,688",253867,4,"45,23455",11,0,1
Bendix 1: The Tomorrow People,Raymond Scott,spotify:track:2VRPZo2QBfnY9JKxgtDg66,"0,579","0,391",6,"-18,39",0,"0,914","0,938",0,"0,246","0,683","101,459",66693,3,"6,73588",3,0,1
Best I Ever Had,Gary Allan,spotify:track:120w1eBYfiYrSXtegu6uEb,"0,273","0,59",6,"-4,997",1,"0,0295","0,00254","1,07E-06","0,108","0,214","174,863",251480,4,"41,32197",13,1,1
Better Than Me,Hinder,spotify:track:10fddGyyeUquZZ2uPTjD7P,"0,449","0,682",2,"-5,295",0,"0,029","0,205",0,"0,175","0,254","139,924",223533,4,"33,73045",9,1,1
Big Girls Don't Cry,Fergie,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,"0,708","0,641",7,"-4,296",1,"0,0336","0,205",0,"0,0945","0,253","113,082",268120,4,"74,80411",10,1,1
Big Star,Kenny Chesney,spotify:track:6BJOQ94yeGXYwuR6X9QO1N,"0,655","0,807",0,"-7,674",1,"0,0309","0,0056","2,42E-05","0,159","0,73","120,781",239560,4,"16,96227",11,1,1
Birth Interlude,Clubroot,spotify:track:4wuqqKXIbFBB8MX0EYpj96,"0,389","0,598",4,"-8,473",1,"0,0363","0,782","0,948","0,0825","0,0396","140,002",226147,4,"22,35533",10,0,1
Bizarre Disco Junky,Synapscape,spotify:track:6fFHtMdeFXk26WxooZFzhm,"0,331","0,752",5,"-4,438",1,"0,11","0,000246","0,0678","0,146","0,286","119,388",294040,1,"56,4155",10,0,1
Black Metal - Re-Recorded Version,Venom,spotify:track:6DklrBMMZDz1ZFi5pD2h29,"0,213","0,988",2,"-6,048",1,"0,0945","9,22E-06","0,124","0,55","0,176","92,73",188960,4,"32,00464",10,0,1
Black Sails At Midnight,Alestorm,spotify:track:5K5lrptyRqoVYYDhADvzSM,"0,493","0,977",5,"-3,808",0,"0,151","7,21E-06","0,00538","0,356","0,322","100,02",210987,4,"55,87392",10,0,1
Blessed,Martina McBride,spotify:track:0nGzwlShUTBEQePuzMoUjN,"0,587","0,629",7,"-7,439",1,"0,0424","0,183",0,"0,0686","0,425","114,993",276600,4,"39,80868",13,1,1
Blood in the Water,'Legally Blonde' Ensemble,spotify:track:2ewb4VJoSMG1FuSkFKoMgO,"0,578","0,293",1,"-12,594",1,"0,479","0,647",0,"0,334","0,51","139,609",289960,4,"48,63488",11,0,1
