dataset_of_10s_track,dataset_of_10s_artist,dataset_of_10s_uri,dataset_of_10s_danceability,dataset_of_10s_energy,dataset_of_10s_key,dataset_of_10s_loudness,dataset_of_10s_mode,dataset_of_10s_speechiness,dataset_of_10s_acousticness,dataset_of_10s_instrumentalness,dataset_of_10s_liveness,dataset_of_10s_valence,dataset_of_10s_tempo,dataset_of_10s_duration_ms,dataset_of_10s_time_signature,dataset_of_10s_chorus_hit,dataset_of_10s_sections,dataset_of_10s_target,dataset_of_10s_id_ano
¿Por Qué Cambiaste De Opinión?,Calibre 50,spotify:track:1j8gLQNfFOI0vs8qcVTWwa,"0,735","0,49",5,"-4,937",1,"0,0299","0,446","3,52E-06","0,129","0,89","135,159",241907,4,"44,16903",12,0,2
10.000 Falls,Logical Terror,spotify:track:774fmDmDlvsKYdcdBnjp1Z,"0,429","0,924",11,"-6,456",0,"0,135","0,00136","9,78E-06","0,345","0,209","180,033",241583,4,"62,60494",12,0,2
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,spotify:track:75lcPkAkUsKWHGBlGM476R,"0,825","0,572",6,"-6,067",0,"0,0864","0,0079",0,"0,113","0,568","141,991",175954,4,"78,18346",5,1,2
2 Reasons,Trey Songz Featuring T.I.,spotify:track:6lgzJuBX3iqevLdtgNlyAU,"0,734","0,746",11,"-5,088",1,"0,0762","0,00135",0,"0,178","0,539","94,033",197627,4,"66,50658",7,1,2
2.10,Atilla,spotify:track:0VD33LUojoC13qRoehCnjx,"0,717","0,402",7,"-8,821",0,"0,0681","0,583","1,82E-05","0,118","0,136","146,055",201430,4,"26,45104",8,0,2
3D Dream - World Mix,Jerry Paper,spotify:track:66HSEaHk2uANQxaEqXasvu,"0,776","0,504",11,"-12,052",0,"0,0473","0,191","0,108","0,724","0,888","92,291",219293,4,"18,33128",10,0,2
4422,Drake Featuring Sampha,spotify:track:2fkeWbM6iqTw7oGHTYm2lw,"0,61","0,229",11,"-12,36",0,"0,0333","0,558","0,0413","0,113","0,19","111,887",186293,4,"39,68914",8,1,2
6 Chansons: No. 5. Aujourd'hui le ciel est noir… (Today the sky is black),Iannis Xenakis,spotify:track:4NUQF1JcqYg8Swx4WL6f2D,"0,582","0,0103",1,"-28,292",1,"0,1","0,993","0,936","0,102","0,363","100,704",140640,4,"40,28695",7,0,2
679,Fetty Wap Featuring Remy Boyz,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,"0,618","0,717",7,"-5,738",1,"0,318","0,00256",0,"0,625","0,603","190,05",196693,4,"23,56527",14,1,2
A Blacksmith for the Souls of Metal,Furze,spotify:track:2EpxPjPvn3z5dSe4K8PJlg,"0,223","0,986",4,"-4,399",1,"0,0936","2,15E-05","0,793","0,0433","0,351","166,582",262306,4,"26,58879",12,0,2
A Blacksmith for the Souls of Metal,Furze,spotify:track:44TYRFekR2GNrH9QVRhPau,"0,202","0,978",4,"-5,843",1,"0,0745","2,46E-05","0,85","0,0469","0,393","166,658",262394,4,"26,24867",12,0,2
A Guy With A Girl,Blake Shelton,spotify:track:5sjIhQzNljMVrDklI91ezp,"0,552","0,893",0,"-4,593",1,"0,0383","0,0158",0,"0,105","0,777","163,948",189467,4,"35,70753",10,1,2
A Holly Jolly Christmas,Burl Ives,spotify:track:65Q2mv3UlVi9eO70OpsmSe,"0,683","0,375",0,"-13,056",1,"0,0303","0,579",0,"0,076","0,888","140,467",135533,4,"56,0167",7,1,2
A Lie,French Montana Featuring The Weeknd & Max B,spotify:track:1vVNlXi8gf8tZ7OhnEs4VE,"0,516","0,792",1,"-5,38",0,"0,216","0,0235",0,"0,404","0,524","121,189",226790,5,"32,2437",10,1,2
A Little More Summertime,Jason Aldean,spotify:track:3esPcn43N0CytAtcY9V30C,"0,482","0,823",9,"-4,446",1,"0,0661","0,0386","3,69E-05","0,0948","0,451","167,665",219547,4,"34,92614",10,1,2
A Lot,21 Savage,spotify:track:2t8yVaLvJ0RenpXUIAC52d,"0,837","0,636",1,"-7,643",1,"0,086","0,0395","0,00125","0,342","0,274","145,972",288624,4,"52,67801",10,1,2
A New Color,Astronoid,spotify:track:75fyLhgEilq8T2MMdkm18E,"0,316","0,977",3,"-6,833",1,"0,107","1,4E-05","0,905","0,173","0,116","160,032",321373,4,"36,37115",11,0,2
A Sky Full Of Stars,Coldplay,spotify:track:0FDzzruyVECATHXKHFs9eJ,"0,551","0,636",6,"-7,125",1,"0,0281","0,00713","0,00203","0,217","0,153","124,996",268467,4,"32,18263",13,1,2
A Wolf Amongst Ravens,After The Burial,spotify:track:7pwkMTD1dDqHZyCuUko2Aw,"0,483","0,975",1,"-6,839",1,"0,0526","0,000225","0,166","0,128","0,301","136,019",308222,3,"29,34733",11,0,2
A Woman Like You,Lee Brice,spotify:track:3oyMHCAAcnWFdcGuVgwfhd,"0,592","0,584",7,"-7,422",1,"0,0305","0,245",0,"0,0862","0,371","160,048",209787,4,"34,71271",10,1,2
According To You,Orianthi,spotify:track:72phhQtfwZcRweweRxxkmU,"0,619","0,917",5,"-2,582",1,"0,0507","0,0233","1,21E-05","0,0986","0,552","131,002",200347,4,"33,97347",7,1,2
Adeus - Live for the ladies,Monte La Rue,spotify:track:1KY1GRp3hG8ZZwC4oksowW,"0,517","0,674",1,"-8,812",1,"0,101","0,291","0,0529","0,109","0,384","99,048",261085,4,"38,41511",10,0,2
Adore,Cashmere Cat,spotify:track:34HwOOG2tTiz6tAN9h83YT,"0,334","0,622",5,"-5,611",0,"0,0632","0,0826","1,34E-05","0,106","0,209","139,546",216000,4,"55,50734",10,0,2
After the Storm,Darrell Mansfield,spotify:track:2otEdBVdiPhMeYK0qX33RI,"0,48","0,894",2,"-4,585",1,"0,0272","3,65E-05","0,000211","0,335","0,369","94,086",284733,4,"42,31998",13,0,2
Ain't Back Yet,Kenny Chesney,spotify:track:5jjoS9t9LgIsSGbVrtoKR7,"0,602","0,944",10,"-4,238",1,"0,0427","0,0308","0,00256","0,436","0,797","106,958",239813,4,"18,21328",10,1,2
Ain't Worried About Nothin,French Montana,spotify:track:0UAmPUdpTRq8w54B3H8TzY,"0,688","0,904",1,"-2,234",1,"0,106","0,0229",0,"0,0909","0,71","127,887",212427,4,"32,45099",11,1,2
Ala,Joep Beving,spotify:track:0vzSIBAqnN1HzvWrPbh6VF,"0,383","0,125",10,"-22,4",1,"0,0315","0,987","0,929","0,112","0,369","80,185",120741,1,"39,06256",8,0,2
Alice,Avril Lavigne,spotify:track:4gLVsEaNMpzkCAM0hXgDoi,"0,536","0,824",0,"-4,403",1,"0,0767","0,0458","0,000199","0,174","0,172","119,004",300987,4,"27,44375",11,1,2
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,spotify:track:0hy1SOTEn9ifXTzOwnCwEr,"0,589","0,658",11,"-5,288",0,"0,203","0,0242",0,"0,118","0,251","77,521",223973,4,"29,45828",12,1,2
All Eyez,The Game Featuring Jeremih,spotify:track:3JEzGRDUsozrehZTq3dKE8,"0,419","0,655",0,"-6,679",1,"0,247","0,0571",0,"0,0962","0,353","76,835",215297,3,"20,474",10,1,2
All Gold Everything,Trinidad James,spotify:track:0pgeVJrdNok4KhbiM58ayZ,"0,516","0,755",0,"-8,868",0,"0,351","0,0258",0,"0,329","0,633","99,742",187907,4,"34,34435",10,1,2
All I Know,The Weeknd Featuring Future,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,"0,469","0,417",8,"-10,614",0,"0,0704","0,418","0,000189","0,102","0,175","120,012",321027,4,"33,21344",13,1,2
All Of Me,John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a,"0,422","0,264",8,"-7,064",1,"0,0322","0,922",0,"0,132","0,331","119,93",269560,4,"28,48472",13,1,2
All The Good Girls Go To Hell,Billie Eilish,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,"0,726","0,444",8,"-8,922",0,"0,372","0,283","0,143","0,177","0,569","185,044",168840,4,"44,60616",6,1,2
All The Right Moves,OneRepublic,spotify:track:5XRHGXut00SrJUFmcn2lQF,"0,529","0,948",0,"-3,527",1,"0,0474","0,258","9,35E-06","0,283","0,65","146,024",238000,4,"25,16272",11,1,2
All To Myself,Dan + Shay,spotify:track:08tq1XcHwVt5PHXUo87i0D,"0,646","0,781",1,"-4,616",1,"0,0313","0,208",0,"0,125","0,565","94,975",169920,4,"30,49802",7,1,2
All We Know,The Chainsmokers Featuring Phoebe Ryan,spotify:track:2rizacJSyD9S1IQUxUxnsK,"0,662","0,586",0,"-8,821",1,"0,0307","0,097","0,00272","0,115","0,296",90,194080,4,"97,65676",6,1,2
Alone,Marshmello,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,"0,631","0,953",2,"-3,739",1,"0,0343","0,0241","0,0155","0,108","0,422","141,99",273803,4,"41,01193",16,1,2
Alone Together,Fall Out Boy,spotify:track:5MsZIaCYY6Tsdph0LiB0hE,"0,552","0,915",4,"-3,713",1,"0,0559","0,0013","3,74E-05","0,206","0,606","90,013",203413,4,"23,33299",8,1,2
Always Remember Us This Way,Lady Gaga,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,"0,553","0,502",0,"-5,972",1,"0,0409","0,299",0,"0,764","0,296","129,976",210200,4,"35,49563",8,1,2
Amen & Attack - Live,Powerwolf,spotify:track:5jvN5DBtc1tkQdKEMqbFQX,"0,398","0,937",6,"-4,507",1,"0,155","0,000541","6,2E-06","0,386","0,207","98,004",291387,4,"20,50179",9,0,2
America,Razorlight,spotify:track:0vVxIQdqs8uVqoWqNpkzwa,"0,314","0,565",2,"-5,022",1,"0,0317","0,295","6,85E-06","0,345","0,184","89,879",250600,4,"120,94366",5,0,2
American Country Love Song,Jake Owen,spotify:track:0O1x2tRm8ZpfDbcpOWZp7z,"0,529","0,891",8,"-4,36",1,"0,043","0,0457",0,"0,0942","0,329","104,031",199747,4,"33,69356",9,1,2
American Girl,Bonnie McKee,spotify:track:0vvG0VEN6l2fbIEUtq3mQD,"0,66","0,816",0,"-4,332",0,"0,0344","0,00976","1,87E-05","0,59","0,66","127,97",224107,4,"23,531",12,1,2
American Kids,Kenny Chesney,spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,"0,733","0,589",7,"-7,37",1,"0,1","0,0476","5,85E-06","0,0366","0,867","170,097",182960,4,"78,9244",5,1,2
American Saturday Night,Brad Paisley,spotify:track:7xJqaCgeteqWPogqjjxkBl,"0,487","0,938",4,"-5,466",1,"0,0533","0,0721","2,63E-05","0,522","0,733","157,795",274200,4,"26,73053",12,1,2
Amor para Sonhar,Barrio Jazz Gang,spotify:track:3JZg1vj1XlweTsbALwJH2s,"0,722","0,868",4,"-7,886",0,"0,0472","0,466","0,0109","0,145","0,943","97,986",255739,4,"50,30004",12,0,2
Amy. Fred. Meg & John,Alexandre Desplat,spotify:track:186wyDqAoderealVY95g28,"0,23","0,0973",5,"-22,267",1,"0,0357","0,96","0,393","0,0836","0,0389","101,297",228627,4,"43,50177",9,0,2
Anarchy Road,Carpenter Brut,spotify:track:76Y7zlowwANR9HfRIOiDoc,"0,55","0,843",6,"-3,038",0,"0,0375","0,00384","0,294","0,319","0,204","107,005",213084,4,"36,46358",7,0,2
Angel Eyes,Love And Theft,spotify:track:63w0QA1wiV7QhF9jeiHETF,"0,656","0,696",8,"-5,917",1,"0,0261","0,0134",0,"0,0753","0,966","108,015",186627,4,"51,35629",9,1,2
Angst,Arcturus,spotify:track:4cWygEpp9PbMiJPf2d5TcP,"0,136","0,929",2,"-5,27",1,"0,0703","3,5E-06","0,769","0,193","0,134","199,627",266748,4,"67,46274",13,0,2
Animal,Glee Cast,spotify:track:6TyirQafPuawKfoKtJh5rE,"0,571","0,646",5,"-6,244",1,"0,0412","0,105",0,"0,0615","0,761","147,921",191373,4,"16,48931",10,1,2
Anthology (Daft Punk Tribute) (EFL092),OVERWERK,spotify:track:5rQNvwBagYhlgkHBvtgDAP,"0,784","0,799",5,"-6,7",0,"0,065","0,00305","0,00138","0,419","0,613","128,871",193440,4,"28,44461",12,0,2
Apes**t,The Carters,spotify:track:0B08s1tLWCXoFmGP0vIubM,"0,698","0,783",2,"-6,503",1,"0,266","0,016",0,"0,176","0,378","160,034",264853,4,"37,31643",14,1,2
Apex Blasphemy,Cattle Decapitation,spotify:track:2imFiHBghDomXuUEfVuNqw,"0,206","0,965",10,"-3,896",1,"0,169","2,35E-06","0,796","0,206","0,143","146,794",225947,4,"158,30675",4,0,2
Army of the Night,Powerwolf,spotify:track:5f1x0u2s0qrAk6IlqRKdHc,"0,422","0,969",1,"-3,56",0,"0,0556","0,00054",0,"0,281","0,577","171,99",201387,4,"23,18011",9,0,2
Art House Director,Broken Social Scene,spotify:track:5feuZknKlJYGMPvWvKrpwt,"0,464","0,766",7,"-5,298",1,"0,041","0,000122","0,0275","0,544","0,335","130,458",212173,5,"105,47915",6,0,2
as if your eyes were partly closed as if you honed the swirl within them and offered me the world,Brian Eno,spotify:track:7dgtHRbZdtITazhdi2QiJy,"0,204","0,000992",7,"-34,339",1,"0,0478","0,995","0,954","0,118","0,145","139,901",97787,4,"29,4343",5,0,2
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,spotify:track:5qYiVdWxd84wRWGIQ9Hts6,"0,553","0,619",3,"-7,101",1,"0,0308","0,474",0,"0,123","0,374","183,91",223827,4,"18,46741",14,1,2
Atlas: Two,Sleeping At Last,spotify:track:6qWfB1QABjGnaO6mrn9iBF,"0,384","0,325",4,"-9,485",1,"0,0398","0,902","6,74E-06","0,361","0,274","132,801",260429,4,"23,01897",9,0,2
Attitude,Sepultura,spotify:track:5hBKrgKMI929c0kHoNomu3,"0,475","0,942",1,"-4,287",0,"0,139","0,00141","0,0797","0,0939","0,178","80,356",255400,4,"54,87165",12,0,2
Autre temps,Alcest,spotify:track:38cEFxU4h05Aa0BgzWrNyy,"0,24","0,548",1,"-8,378",0,"0,0324","0,00609","0,875","0,0941","0,127","127,342",350320,4,"59,09059",14,0,2
Awake,Tycho,spotify:track:2qC1sUo8xxRRqYsaYEdDuZ,"0,552","0,878",1,"-5,767",1,"0,0353","0,0585","0,892","0,0746","0,598","176,057",283636,4,"22,49876",13,0,2
B**** I'm Madonna,Madonna Featuring Nicki Minaj,spotify:track:3Ik6ZVvOgr2Pu5cnI8Gsu0,"0,733","0,612",3,"-5,777",0,"0,109","0,0478","0,000784","0,161","0,553","149,999",228853,4,"39,10846",11,1,2
Babel,Mumford & Sons,spotify:track:7nhItJUpHMXJURhZNyXHJs,"0,373","0,813",2,"-6,13",1,"0,0543","0,0253","0,000227","0,0826","0,647","80,465",208933,4,"60,71942",7,1,2
Baby,Lil Baby & DaBaby,spotify:track:2gwkD6igEhQbDQegRCcdoB,"0,876","0,662",2,"-6,482",0,"0,426","0,0608",0,"0,127","0,844","75,445",163320,4,"22,72264",9,1,2
Baby I,Ariana Grande,spotify:track:6EIsMa5lbvljYxqCkjZVDi,"0,725","0,796",1,"-3,684",1,"0,0326","0,0154",0,"0,354","0,517","101,976",197600,4,"28,69018",11,1,2
Baby Shark,Pinkfong,spotify:track:5ygDXis42ncn6kYG14lEVG,"0,825","0,84",7,"-3,651",1,"0,227","0,245",0,"0,341","0,52","115,062",96333,4,"80,72202",3,1,2
Baby Swing - Radio Edit,Phos Toni,spotify:track:3kpbLXeL4vSyLB4wYUKP45,"0,834","0,731",11,"-4,439",0,"0,266","0,115","0,000268","0,368","0,828","121,93",190143,4,"33,27024",6,0,2
Back & Forth,Wild Child,spotify:track:2vcwh4UGbHy3gkhCEvBDMn,"0,749","0,699",5,"-7,193",0,"0,0469","0,0694",0,"0,124","0,641","123,965",211360,4,"37,32327",8,0,2
Back in Time,Swing Republic,spotify:track:7pstX01u6qbKF0tWsTa2Lz,"0,87","0,792",6,"-5,327",0,"0,047","0,0166","0,123","0,178","0,645","117,983",198667,4,"35,67493",11,0,2
Bad And Boujee,Migos Featuring Lil Uzi Vert,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,"0,927","0,665",11,"-5,313",1,"0,244","0,061",0,"0,123","0,175","127,076",343150,4,"47,37726",18,1,2
Bad Habits,Maxwell,spotify:track:0f62w1teOSaYgKObtzygaR,"0,661","0,67",11,"-7,645",0,"0,258","0,0873","2,01E-06","0,0794","0,661","148,02",352280,4,"67,8362",14,1,2
Bad Liar,Imagine Dragons,spotify:track:2RSHsoi04658QL5xgQVov3,"0,383","0,637",3,"-6,993",1,"0,0703","0,0722",0,"0,368","0,0827","177,913",260773,4,"38,86492",10,1,2
Bad Liar,Selena Gomez,spotify:track:2fZQIJew3nkNe99s2PKzul,"0,965","0,414",1,"-6,408",1,"0,0713","0,189",0,"0,0767","0,728","121,032",214648,4,"40,67693",13,1,2
Bad Things,Machine Gun Kelly x Camila Cabello,spotify:track:1PSBzsahR2AKwLJgx8ehBj,"0,697","0,691",2,"-4,757",1,"0,146","0,214",0,"0,185","0,305","137,853",239293,4,"43,70931",10,1,2
Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd,spotify:track:69dXVFCMiz3SL1L7M24NdX,"0,799","0,526",8,"-5,153",1,"0,0717","0,334","0,00174","0,0571","0,746","129,875",150475,4,"30,24642",7,1,2
Badges,Yohuna,spotify:track:4gW4lIdFDob87TaoyREAHu,"0,481","0,199",7,"-14,253",1,"0,0326","0,949","0,618","0,12","0,147","127,996",229500,4,"47,06457",8,0,2
Ballad Of The Sad Young Men,Charles Lloyd,spotify:track:2seZ8ZHnD5RQBkhT8RsBZu,"0,474","0,112",0,"-17,762",1,"0,0297","0,974","0,873","0,112","0,116","106,514",377320,4,"18,35119",16,0,2
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,spotify:track:7EZPH9Px3gXlxD5KJDwtwc,"0,871","0,743",2,"-5,442",1,"0,277","0,00212",0,"0,141","0,576","130,977",278827,4,"46,23262",16,1,2
Barrow-downs,Summoning,spotify:track:0jExrisy6Ky7FByFUiPLmX,"0,465","0,868",1,"-9,973",0,"0,0338","0,0459","0,973","0,144","0,252","80,027",167627,3,"55,517",9,0,2
Batalla Final,Dangerous,spotify:track:2sIY93yqF0Rin3CdCJxbOu,"0,156","0,991",7,"-4,497",1,"0,209","1,61E-05","0,00136","0,232","0,175","180,684",208661,4,"27,43521",13,0,2
Battle for Pride Rock,Hans Zimmer,spotify:track:2WGNFmRcApRC8znCuGtfXJ,"0,177","0,473",0,"-12,152",1,"0,0489","0,233","0,895","0,167","0,0514","100,873",661067,4,"19,70407",22,0,2
Beautiful People,Chris Brown Featuring Benny Benassi,spotify:track:0iSaO7CfL9NgXdM8Meu2ul,"0,417","0,806",5,"-5,339",0,"0,16","0,0703","0,00637","0,0841","0,545","127,887",226773,4,"14,73978",10,1,2
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,spotify:track:0ky2rzzC9DqXgEqLuq7dWJ,"0,59","0,82",0,"-5,319",1,"0,0662","0,00108","8,78E-06","0,131","0,585","127,999",226613,4,"45,70107",13,1,2
Because I’m Me,The Avalanches,spotify:track:3f3HHRPF5vAo90GwdpDMaQ,"0,472","0,805",8,"-5,793",1,"0,086","0,0491","0,0162","0,337","0,512","94,922",252800,4,"44,3173",13,0,2
Before the Throne of God Above,The Worship Initiative,spotify:track:3ELvknrrLz8QL36CeIb6Je,"0,403","0,361",3,"-9,558",1,"0,0313","0,0298",0,"0,0968","0,0992","135,968",342625,3,"41,74067",22,0,2
Before You Wake Up,Adekunle Gold,spotify:track:2PKRz9DR6lUX6zAJgW5aRV,"0,629","0,821",8,"-3,4",0,"0,17","0,499",0,"0,411","0,715","63,59",174500,5,"22,2043",6,0,2
Behind The Scenes,Bugseed,spotify:track:1qsR7mI2NFDaYSZG5ni4Gl,"0,379","0,475",5,"-6,426",1,"0,111","0,13","0,852","0,277","0,169","174,373",132375,4,"25,03954",7,0,2
Believe It,Hella,spotify:track:0oYkyxZq0oGinBNNF2z1TX,"0,704","0,546",9,"-9,156",1,"0,0412","0,0276","1,12E-05","0,16","0,176","144,058",237363,4,"33,35644",13,0,2
Believe Me,Lil Wayne Featuring Drake,spotify:track:6t2eIONH4Sax3R21QWiKNp,"0,844","0,491",10,"-8,807",0,"0,17","0,272",0,"0,111","0,196","91,935",337640,4,"25,88553",15,1,2
Best Friend,Young Thug,spotify:track:33JcUj9qQDayKswunZP9ar,"0,959","0,598",8,"-5,534",1,"0,0713","0,0358",0,"0,358","0,408","127,029",213000,4,"46,84761",8,1,2
Better Now,Post Malone,spotify:track:7dt6x5M1jzdTEt8oCbisTK,"0,68","0,578",10,"-5,804",1,"0,04","0,331",0,"0,135","0,341","145,038",231267,4,"26,95282",12,1,2
Better Run,Dub Inc.,spotify:track:4sDidFl2yb1cBtOBzxaVM6,"0,749","0,631",7,"-6,037",1,"0,05","0,141",0,"0,111","0,529","87,979",235773,4,"48,10385",11,0,2
Better Together,Luke Combs,spotify:track:1tSGw3h54aHModEHHL1HGK,"0,552","0,225",0,"-11,501",1,"0,0477","0,826",0,"0,111","0,67","138,002",219573,4,"18,8542",8,1,2
Billionaire,Teni,spotify:track:3IOH028AYanK51Xx1xrSOV,"0,807","0,715",8,"-5,316",1,"0,0998","0,301",0,"0,0936","0,829","118,965",213812,4,"50,46719",11,0,2
Binaural Beta Sinus Drone IIII,The Entrainment,spotify:track:57QUuHrWZz08HialRptMC4,"0,169","0,00703",3,"-33,925",1,"0,0594","0,979","0,322","0,118","0,0269","136,396",214908,5,"99,70231",6,0,2
Black Beatles,Rae Sremmurd Featuring Gucci Mane,spotify:track:6fujklziTHa8uoM5OQSfIo,"0,794","0,632",0,"-6,163",1,"0,0649","0,142",0,"0,128","0,355","145,926",291893,4,"27,31067",11,1,2
Black Hole Metal,Black Crucifixion,spotify:track:6u0NhMJ5xWn4b6pWYadO2q,"0,349","0,959",10,"-3,854",1,"0,057","2,4E-05","0,75","0,358","0,257","94,977",184547,4,"65,36389",8,0,2
Black Horses Stampede,Textures,spotify:track:5KsywoGp7aAI99WtqSpsUu,"0,421","0,927",8,"-4,141",1,"0,0604","0,000987","1,02E-05","0,11","0,362","125,944",236533,4,"51,42567",10,0,2
Black Metal / Insane,Venom,spotify:track:1pTZZApVeqLpAoRhYtMx1M,"0,349","0,966",1,"-7,308",0,"0,0856","0,000163","0,000139","0,0695","0,117","99,686",220027,4,"43,84717",6,0,2
Blame,Calvin Harris Featuring John Newman,spotify:track:07nH4ifBxUB4lZcsf44Brn,"0,413","0,856",0,"-4,078",0,"0,0808","0,0289","0,00571","0,343","0,35","128,017",212960,4,"57,69606",10,1,2
Blem,Drake,spotify:track:2XlHu0HcujBCkWMdIAvrqt,"0,726","0,535",7,"-7,804",0,"0,0476","0,0533","1,38E-05","0,0984","0,375","98,067",216558,4,"39,88077",6,1,2
Blessed Be the Darkness,Behexen,spotify:track:3PlKqs2Oj7UWsu4MO0gu5X,"0,122","0,869",9,"-4,648",0,"0,0864","1,69E-05","0,675","0,462","0,0626","147,406",260520,4,"41,1835",11,0,2
Blood on Your Name,Emerald Sun,spotify:track:4WpUylY7ouC8xsa8dKxL0C,"0,413","0,931",7,"-1,889",0,"0,0766","0,000691","1,36E-05","0,141","0,4","162,866",301575,4,"52,2594",11,0,2
Blown Away,Carrie Underwood,spotify:track:0vFMQi8ZnOM2y8cuReZTZ2,"0,531","0,843",9,"-2,569",0,"0,0429","0,0909",0,"0,0283","0,392","136,991",240133,4,"34,45472",11,1,2
Blue Ain't Your Color,Keith Urban,spotify:track:6wycnu8FWXsj68ig7BEot9,"0,69","0,416",7,"-7,865",1,"0,0335","0,617","1,37E-06","0,102","0,479","82,45",230600,3,"38,50621",12,1,2
Blue Guitar,Earl Hooker,spotify:track:5nrFJNFoatpDYUQoSbf6jr,"0,272","0,459",4,"-9,374",1,"0,0357","0,979","0,826","0,134","0,467","80,232",164485,4,"22,78569",7,0,2
Blue Monk,Thelonious Monk,spotify:track:2ul1uIgptw43J3BkpA2g69,"0,433","0,367",3,"-15,473",1,"0,0394","0,767","0,588","0,126","0,616","147,006",459866,4,"56,12802",19,0,2
Blues Don't Care,Buddy Guy,spotify:track:5fs3sNq3KK9jpbTNCf324m,"0,371","0,941",4,"-2,711",1,"0,0779","0,0882","0,0373","0,0658","0,767","121,006",207000,4,"21,49356",11,0,2
