dataset_of_70s_track,dataset_of_70s_artist,dataset_of_70s_uri,dataset_of_70s_danceability,dataset_of_70s_energy,dataset_of_70s_key,dataset_of_70s_loudness,dataset_of_70s_mode,dataset_of_70s_speechiness,dataset_of_70s_acousticness,dataset_of_70s_instrumentalness,dataset_of_70s_liveness,dataset_of_70s_valence,dataset_of_70s_tempo,dataset_of_70s_duration_ms,dataset_of_70s_time_signature,dataset_of_70s_chorus_hit,dataset_of_70s_sections,dataset_of_70s_target,dataset_of_70s_id_ano
(I'm Stuck In A Pagoda With) Tritia Toyota,The Dickies,spotify:track:1uK9zF99eaO6oGh8lIBCJq,0.369,"0,981",4,"-6,193",1,"0,0586","0,0312","0,000818","0,398","0,84","174,66",172200,4,"31,20109",10,0,4
(The System Of) Doctor Tarr And Professor Fether,The Alan Parsons Project,spotify:track:2IfpSQcggsntXGjXRFWj1b,0.502,"0,699",10,"-7,691",1,"0,0301","0,313",0,"0,151","0,653","85,212",260853,4,"52,68474",11,1,4
(Wish I Could Fly Like) Superman,The Kinks,spotify:track:4uDnx2eQm8V9Fnj0L0k8bb,0.772,"0,669",1,"-11,239",0,"0,0444","0,0373","2,05E-05","0,0854","0,96","123,39",214733,4,"45,96332",9,1,4
(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,spotify:track:39iKJpLPhsDTOzH2lXliWF,0.656,"0,646",10,"-9,169",0,"0,0336","0,0575","0,00464","0,16","0,75","117,586",241720,4,"63,69406",9,1,4
¿A Dónde Van?,Silvio Rodríguez,spotify:track:3MD5gSg3AsjmuBtBO67nNN,0.606,"0,0976",2,"-17,754",1,"0,0473","0,949","0,000773","0,103","0,499","122,09",274835,4,"28,95129",12,0,4
7.30 for 8,De Wolfe Music,spotify:track:3ymtGrt0AQIzFS30Ylv6CX,0.551,"0,166",9,"-17,789",1,"0,0565","0,897","0,812","0,106","0,14","113,881",124871,4,"37,25779",7,0,4
7-6-5-4-3-2-1 (Blow Your Whistle),Gary Toms Empire,spotify:track:157ESNUvJI8NeHjV9hcDEd,0.717,"0,695",1,"-9,941",1,"0,0972","0,0148","5,51E-05","0,132","0,693","116,39",306973,4,"118,28767",11,1,4
A Apolitical Blues,Little Feat,spotify:track:3ApqVYTzkiGRK74zw34X3X,0.375,"0,435",2,"-13,161",1,"0,127","0,733","0,00082","0,0692","0,66","176,911",208133,3,"22,63891",12,0,4
A Collective Improvisation,Lol Coxhill,spotify:track:5XecQ20dq6AOzgj7yW6MHE,0.371,"0,738",5,"-8,53",1,"0,357","0,73","0,00645","0,611","0,397","154,406",163933,5,"49,98516",7,0,4
A Cuba,Victor Jara,spotify:track:4t1bIK3bU11PEgcOaZ9sTA,0.672,"0,53",1,"-11,013",1,"0,113","0,417",0,"0,0943","0,955","121,707",240025,4,"33,32468",14,0,4
A Dream Goes On Forever,Todd Rundgren,spotify:track:0tiBROmRVHxKAtgI8Hg9Sa,0.602,"0,375",0,"-12,308",1,"0,0329","0,114","1,86E-06","0,0815","0,815","91,202",145160,4,"37,13993",6,1,4
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,spotify:track:1hR3TNe1neCWRQatSVOFfX,0.688,"0,506",0,"-13,311",0,"0,0408","0,316","0,69","0,0611","0,784","108,753",182533,4,"30,61573",10,1,4
A Little Night Music: It Would Have Been Wonderful,Stephen Sondheim,spotify:track:7qCnzi8vb9RYBvrhUbgKwh,0.4,"0,266",6,"-12,605",0,"0,0927","0,979",0,"0,219","0,279","94,419",266360,3,"40,56409",12,0,4
A Mother For My Children,The Whispers,spotify:track:55eqxcMFb92snDL5ays5Uf,0.421,"0,72",3,"-9,071",1,"0,217","0,11","5,85E-05","0,0557","0,787","197,535",194093,4,"32,99596",10,1,4
Abbey Road Medley,R. Stevie Moore,spotify:track:5ThtAYxiUEB2vn0X57cOb2,0.35,"0,294",9,"-14,932",0,"0,034","0,873","0,904","0,101","0,212","82,697",620160,4,"32,17161",26,0,4
Abre la Ventana,Victor Jara,spotify:track:5Oz6RB0ptlwkpu5tkqxelK,0.403,"0,451",6,"-10,37",1,"0,0379","0,815","5,04E-06","0,0742","0,493","149,773",236727,5,"26,03138",11,0,4
Absolutely Right,Five Man Electrical Band,spotify:track:4LjJIibyUazknsZNZWHOgy,0.49,"0,75",4,"-10,012",0,"0,0353","0,145","2,37E-05","0,168","0,961","169,826",138200,4,"26,81647",8,1,4
Ace's Blues,Luther Johnson,spotify:track:4zBTgfl9ugvNKJL12nO416,0.715,"0,0912",9,"-24,508",1,"0,0493","0,917","0,247","0,0948","0,725","87,297",249067,4,"61,15036",13,0,4
Achilipu,Las Grecas,spotify:track:7pZjVLRGPLQVu7tVwfIuh1,0.599,"0,771",7,"-7,966",0,"0,0654","0,423",0,"0,113","0,726","104,03",149307,4,"61,08637",6,0,4
Acquarium,Arawak,spotify:track:5oGqBZ7qfZ4tXZCGYDDy86,0.327,"0,0312",5,"-17,775",1,"0,0393","0,976","0,505","0,107","0,0335","134,085",223899,5,"40,73622",12,0,4
Action,Sweet,spotify:track:2rkwEerYv5dhmu3WONhJqo,0.325,"0,852",2,"-6,644",1,"0,0504","0,0474","0,00245","0,0781","0,636","174,799",200360,4,"39,93377",9,1,4
Adoro,Chavela Vargas,spotify:track:0ZAKT4Vkaa6ddNBpkbsUTl,0.579,"0,128",5,"-15,578",1,"0,057","0,945","2,31E-05","0,127","0,431","132,505",180320,3,"39,305",8,0,4
Afro-Blue - Live In Seattle / 1965,John Coltrane,spotify:track:6lVRZFWmL6zq99tbbaoEXH,0.392,"0,36",5,"-16,821",0,"0,0646","0,755","0,0224","0,0746","0,459","109,499",2083067,3,"27,43093",82,0,4
After Cease to Exist - 32AR,Throbbing Gristle,spotify:track:0uw6lalc75cJbFFRwSTz74,0.276,"0,376",6,"-17,616",1,"0,087","0,353","0,824","0,539","0,045","116,292",1223800,3,"40,68123",52,0,4
After Midnight,Maggie Bell,spotify:track:1pMrYHgGrE9BjBWKpKKeQq,0.636,"0,833",2,"-7,231",1,"0,0323","0,274","0,000175","0,0852","0,879","94,604",158160,4,"52,91493",8,1,4
Agibore,MPB4,spotify:track:0jO9qpiW7M9hGQZMDkFxDk,0.683,"0,912",11,"-8,677",0,"0,0667","0,196","0,00232","0,0624","0,703","123,452",184840,4,"57,86512",7,0,4
Agora Ninguém Chora Mais,Erasmo Carlos,spotify:track:33Eslh2AjVt5T10PXUlsqd,0.441,"0,944",11,"-5,199",0,"0,0394","0,00614","0,000662","0,415","0,553","109,741",157307,4,"47,16002",6,0,4
Águas De Marco,Elis Regina,spotify:track:33k6iSq1SIVBOaXE898Jv1,0.611,"0,322",3,"-13,666",1,"0,287","0,802","4,38E-05","0,121","0,857","150,686",185773,4,"42,88205",10,0,4
Ah! Se Eu Pudesse,Trio Ternura,spotify:track:3NKslBEmAcpWpQWsfxXt4x,0.324,"0,835",2,"-6,469",1,"0,12","0,566",0,"0,233","0,649","184,783",142907,4,"31,42043",9,0,4
Ainda Amo Você,Reginaldo Rossi,spotify:track:4IWrXCQSBJpcGSSWLNITVS,0.501,"0,437",7,"-10,791",0,"0,0284","0,62","1,77E-05","0,129","0,727","77,839",167867,4,"38,84635",8,0,4
Ain't Gonna' Hurt Nobody,Brick,spotify:track:2gdmo3ULjoHN3iDsufbvPG,0.798,"0,622",11,"-11,282",0,"0,0341","0,0429","0,0136","0,15","0,97","114,455",235311,4,"59,6164",11,1,4
Ain't That Loving You (For More Reasons Than One),Luther Ingram,spotify:track:49IQpipnAdKebfTwJRJrtM,0.536,"0,544",8,"-7,316",1,"0,0571","0,159",0,"0,057","0,398","123,841",250973,4,"35,46591",13,1,4
Akhnaten: Akhnaten and Nefertiti,Philip Glass,spotify:track:103T9CKaFlcyC29QvcCWr7,0.211,"0,133",0,"-17,515",1,"0,0409","0,988","0,0723","0,1","0,0395","117,854",254800,4,"133,20473",11,0,4
Akhnaten: Epilogue,Philip Glass,spotify:track:65UB37LpjckLkbMGaC1BXD,0.143,"0,146",5,"-18,792",1,"0,0345","0,934","0,00686","0,114","0,0388","73,433",262933,4,"42,13848",15,0,4
All I See Is Your Face,Dan Hill,spotify:track:7hi9dxOuPmHnChT6SFjNWa,0.408,"0,32",4,"-11,813",1,"0,0432","0,632",0,"0,1","0,297","119,07",212121,4,"28,36773",8,1,4
All Of You - Live - (take 1),Bill Evans Trio,spotify:track:0lxfsM6RJo09RjGqrsE8Ay,0.421,"0,3",5,"-20,337",0,"0,0402","0,732","0,501","0,0992","0,504","99,086",490307,4,"29,67721",24,0,4
All The Kings Horses,Aretha Franklin,spotify:track:4scnR2BdymYpgLzM9vH6Ra,0.421,"0,136",10,"-17,83",1,"0,0411","0,726","9,42E-06","0,0896","0,298","117,275",236000,3,"21,7844",16,1,4
Allan wie a Stan,Wolfgang Ambros,spotify:track:2CET0ms2nyOBoVhK2RMhrs,0.46,"0,58",0,"-10,724",1,"0,0271","0,19","2,11E-06","0,388","0,536","94,389",350360,4,"71,0461",12,0,4
Alles verändert sich,Ton Steine Scherben,spotify:track:4fONPcit50gplggjRCDnw5,0.414,"0,647",2,"-5,918",1,"0,0344","0,451",0,"0,0762","0,326",78,257400,4,"67,37192",9,0,4
Almost Like Being In Love,Michael Johnson,spotify:track:44fWBsWA0NalKPjZUVaKBY,0.689,"0,324",4,"-16,505",1,"0,0263","0,473","0,0024","0,0783","0,569","94,196",210400,4,"27,97278",14,1,4
Alto Saxophone Sonata in E-Flat Major: I. Ruhig bewegt,Paul Hindemith,spotify:track:53iIjEcrbxR6dy0UGIRg3S,0.17,"0,00209",8,"-32,045",0,"0,0494","0,995","0,95","0,11","0,164","69,221",171027,4,"50,73158",8,0,4
Am I Losing You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,spotify:track:2Jkad6HpWCC7lZvg1h8pfW,0.524,"0,491",7,"-11,652",1,"0,0279","0,611",0,"0,219","0,936","139,873",143773,4,"21,03467",7,1,4
Amb la Boca Tancada,Ramon Muntaner,spotify:track:5GYZkNvM2fOHVXTXu1yw2X,0.32,"0,675",4,"-6,797",0,"0,0484","0,48","2,53E-05","0,0907","0,418","156,113",156320,4,"37,89994",5,0,4
Amigo,Roberto Carlos,spotify:track:24Thqkee9KZgifP7G8c70N,0.624,"0,664",11,"-6,994",0,"0,0357","0,517","7,92E-06","0,167","0,887","144,554",211387,4,"61,90255",9,0,4
And The Grass Won't Pay No Mind,Mark Lindsay,spotify:track:3iigco3j8EYAdS8bUv0hyK,0.478,"0,386",1,"-12,634",1,"0,031","0,231","6,59E-05","0,192","0,541","121,105",204867,4,"44,11792",10,1,4
Angel'S Spring,Pholhas,spotify:track:3noZrzPq7ePCo3FqtmCqss,0.319,"0,532",7,"-9,211",1,"0,0299","0,0324","0,0336","0,24","0,438","146,362",176907,4,"37,70814",7,0,4
Annie: Maybe,Charles Strouse,spotify:track:7mZ8hSSAqkNiUBSGe9hB4E,0.322,"0,102",10,"-13,32",1,"0,0318","0,845","0,00593","0,326","0,192","91,173",157360,4,"48,67704",7,0,4
Annie: Tomorrow,Charles Strouse,spotify:track:1AXO42HiJSTgPq7KbJAEjp,0.506,"0,239",6,"-13,473",1,"0,06","0,781","0,0373","0,0946","0,252","92,087",127493,4,"40,25535",4,0,4
Another Night,The Hollies,spotify:track:6XGpXFd88No06yOO68g3lN,0.727,"0,814",9,"-5,517",0,"0,0294","0,113","0,0193","0,155","0,87","110,776",237520,4,"23,1149",13,1,4
"Another Time, Another Place",Engelbert Humperdinck,spotify:track:67UXWcsm9BpB2zegegHcsn,0.408,"0,817",10,"-9,12",0,"0,282","0,155",0,"0,303","0,553","157,244",185840,4,"34,47562",9,1,4
Apparition de l'Église éternelle,Olivier Messiaen,spotify:track:0WyPMPJcQRp0C4zZMzNjtM,0.0633,"0,241",5,"-11,205",1,"0,0327","0,00941","0,893","0,111","0,0313","64,55",488000,4,"34,46523",25,0,4
Aquele Tempo,Leno e Lilian,spotify:track:0HRmUBZT0qamh5pJxJPPM4,0.732,"0,523",11,"-11,615",0,"0,034","0,704","0,011","0,272","0,938","126,603",150837,4,"82,80179",6,0,4
Arabia (strange fanfare leading into bazaar scene),Deuter,spotify:track:5pUVT8CPuFGZHGl9FHYlqr,0.273,"0,269",3,"-13,223",1,"0,0423","0,882","0,991","0,0624","0,0852","137,885",217000,3,"23,21445",7,0,4
Are You Leaving for the Country,Karen Dalton,spotify:track:5iJoCwE8V2niREBvF99hoB,0.515,"0,238",2,"-12,847",1,"0,0318","0,85","6,45E-06","0,0917","0,207","135,402",194560,3,"42,93859",9,0,4
Arizona,Mark Lindsay,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,0.479,"0,453",3,"-12,806",1,"0,0472","0,225","0,00038","0,143","0,756","81,18",188133,4,"31,42769",8,1,4
Arrivée à Paris,Eric Demarsan,spotify:track:1dUjCzoKnqCg408N1htR46,0.466,"0,534",7,"-4,862",0,"0,0316","0,175","0,000526","0,2","0,436","131,697",238413,3,"29,66438",15,0,4
Attack Of The Mole Men,The Dickies,spotify:track:0rixOamRznbzEiutY3gS8c,0.484,"0,928",11,"-6,104",0,"0,0376","0,000405","0,00218","0,222","0,815","133,212",221467,4,"30,74447",11,0,4
Attaining - Take 1 / Alternate Version,John Coltrane,spotify:track:3EwLV5hZqLKx5e0Lp1QcB7,0.342,"0,462",4,"-12,931",0,"0,0389","0,514","0,0181","0,0977","0,397","98,466",816867,4,"24,84938",33,0,4
Attitude Dancing,Carly Simon,spotify:track:1Qak07fOmk2OnuXTDgW2FL,0.687,"0,587",0,"-14,726",1,"0,0337","0,14",0,"0,228","0,826","130,36",233627,4,"23,25606",15,1,4
Atwer Abroba,Ebo Taylor,spotify:track:5eAbRhlXVPC60g76x5k7Je,0.738,"0,861",5,"-6,825",0,"0,0639","0,575","0,676","0,147","0,928","108,339",495733,4,"44,77674",20,0,4
Aubrey,Bread,spotify:track:3his1UkcI0rwrniPDR9kTj,0.326,"0,0902",7,"-20,588",1,"0,0344","0,647","0,00091","0,198","0,218","137,611",219493,4,"37,19366",11,1,4
Aum,Deuter,spotify:track:34dqvpKVKrYCaaueWGoYBI,0.515,"0,0567",5,"-27,078",1,"0,0443","0,692","0,859","0,291","0,0893","117,275",127840,4,"68,99631",6,0,4
Aun Se Acuerda De Mí,Vicente Fernández,spotify:track:6jNP4eMyAflP96pMYjuzUl,0.433,"0,302",4,"-7,099",1,"0,0294","0,716",0,"0,119","0,356","115,399",219973,3,"16,19192",13,0,4
Avalon,Gordon Giltrap,spotify:track:35N2Mr9NUJUagzwA7vrySy,0.413,"0,146",11,"-20,29",0,"0,0587","0,933","0,879","0,114","0,471","114,065",120630,3,"42,22322",6,0,4
Avant-guerre,François de Roubaix,spotify:track:3N8iaYeytEBvG5S1j4qWii,0.712,"0,344",7,"-18,223",1,"0,0378","0,723","0,757","0,208","0,776","114,526",278467,4,"39,0171",12,0,4
Baby Come Back,Player,spotify:track:2eRYuzlSOBk3HlMsCSOLPJ,0.645,"0,604",5,"-9,904",0,"0,118","0,0713",0,"0,129","0,545","156,436",214373,4,"47,97448",10,1,4
Baby Hold On,The Grass Roots,spotify:track:51ABZgksUv3qpjWqg1rYjP,0.662,"0,71",10,"-10,656",1,"0,0289","0,236","0,00367","0,124","0,936","133,651",158507,4,"35,83757",8,1,4
Baby Sister Blues,Johnny Shines,spotify:track:6Op638XrJJXCrkYLrOX6fG,0.543,"0,106",0,"-18,102",1,"0,0406","0,839","0,00101","0,0863","0,528","112,812",198920,4,"31,83463",10,0,4
"Baby, Please",Mighty Joe Young,spotify:track:7BJs5qL7EXrVxYvc4SfkqW,0.682,"0,75",0,"-9,502",1,"0,0367","0,233","0,00832","0,105","0,85","91,157",199800,4,"56,92309",7,0,4
"Baby, Please Don't Go - Live",Muddy Waters,spotify:track:0tITihlBdExCeF4U34gBW8,0.494,"0,908",5,"-7,51",1,"0,167","0,752","0,224","0,97","0,583","145,336",244093,4,"25,8495",15,0,4
Bala Com Bala,Elis Regina,spotify:track:1iOBCjc1IekAWnemXHuc4M,0.762,"0,635",0,"-13,806",1,"0,0419","0,603","0,00644","0,0928","0,787","106,755",191360,4,"29,09608",9,0,4
Ball Of Confusion (That's What The World Is Today),The Temptations,spotify:track:7gWBXNYoKH7jLZx0MgZCfl,0.535,"0,774",5,"-6,42",1,"0,0593","0,0983",0,"0,559","0,865","79,5",241493,4,"26,22154",10,1,4
Ballada dla Alicji,Big Band Katowice,spotify:track:4LTDsmXrEylRDSL5bDVdMi,0.198,"0,247",2,"-14,113",1,"0,0489","0,853","0,388","0,135","0,0723","62,614",270267,4,"33,57526",11,0,4
Ballade de l'humeur vagabonde,Eric Demarsan,spotify:track:04FKrt6g37c6JGyGdB4qc0,0.458,"0,437",4,"-5,557",0,"0,0291","0,772","1,36E-05","0,102","0,708","96,649",126907,3,"38,89272",5,0,4
Baroque in Rythmn (Suite for Cello and Jazz Piano),Claude Bolling,spotify:track:6hSKbjdzimQyAXbryc3oUO,0.535,"0,375",0,"-15,234",1,"0,0358","0,791","0,864","0,183","0,766","109,566",262307,4,"37,47639",13,0,4
Barrunto,Willie Colón,spotify:track:0oCentzpU5hprEWJtggVIc,0.601,"0,526",5,"-10,483",0,"0,0464","0,479","0,00774","0,0463","0,904","97,44",336120,4,"27,16025",17,0,4
Be My Girl,The Dramatics,spotify:track:34nT7RkrF1bimYlQUFEpkq,0.57,"0,31",0,"-14,151",1,"0,0291","0,556","6,08E-05","0,122","0,462","74,989",271467,4,"51,76876",12,1,4
Be My Lover,Alice Cooper,spotify:track:7K5DQXU32pXtzwUgHsrZYy,0.532,"0,434",2,"-15,45",1,"0,0543","0,113","0,00151","0,076","0,554","117,6",201040,4,"59,46836",8,1,4
Beautiful Kauai,Don Ho,spotify:track:3awdmTTF3AL3RXmxrfAa38,0.532,"0,231",5,"-16,14",1,"0,0323","0,908","0,000378","0,133","0,461","117,226",172800,4,"58,3159",8,0,4
Beautiful Sunday,Daniel Boone,spotify:track:6DqNZJ4hhBYd8qj9WbpSTJ,0.676,"0,463",9,"-13,155",1,"0,0306","0,309",0,"0,288","0,91","121,923",182133,4,"36,28697",7,1,4
Being friendly,Stefano Torossi,spotify:track:0nL8K5NRu75ehvy1Pj2JDr,0.356,"0,454",7,"-13,198",1,"0,0287","0,039","0,391","0,073","0,344","107,324",180040,4,"38,38482",8,0,4
Bell Bottom Blues,Derek & The Dominos,spotify:track:2YJgM8lj4u5YEZRSHSfL60,0.404,"0,695",2,"-6,162",1,"0,034","0,587","0,0383","0,159","0,646","133,135",301720,4,"33,6108",11,1,4
Best Thing That Ever Happened To Me,The Persuaders,spotify:track:5xN2d0IpBPSNKkahF4vnXU,0.392,"0,424",2,"-11,022",1,"0,0379","0,786","0,00636","0,125","0,404","74,02",295000,4,"46,33744",13,1,4
Bhimpalasri Jhala,Nikhil Banerjee,spotify:track:2fR04Ct6BMPZNOZNAQr8v8,0.311,"0,569",9,"-20,641",0,"0,0402","0,81","0,617","0,675","0,622","97,393",171227,3,"48,23317",7,0,4
"Big Man, Big M.a.n",Crass,spotify:track:5ghXFtDttXPRlUCrLAbmTo,0.485,"0,844",2,"-7,166",1,"0,351","0,0686",0,"0,438","0,593","168,755",166147,4,"37,31527",9,0,4
Big Norm,Ebony,spotify:track:53qpPQxITn5wkxLyttMODA,0.418,"0,742",9,"-8,169",1,"0,0933","0,268","1,31E-06","0,118","0,794","138,798",193773,4,"39,04841",8,0,4
Bird Walk,Schawkie Roth,spotify:track:5iPIeLuQuV6y2UwCv2Ybcl,0.173,"0,242",4,"-15,795",0,"0,0397","0,974","0,633","0,946","0,101","91,874",734027,3,"31,53267",34,0,4
Birthday Party - 2019 Remastering,Haruomi Hosono,spotify:track:1xCPCv4Sa1fmx8l6vIzo1x,0.659,"0,59",4,"-8,032",1,"0,078","0,43","0,509","0,125","0,522","83,825",233973,3,"34,05026",11,0,4
Bitches Brew,Miles Davis,spotify:track:4IqzVeWfWLPQ2deCYYWeXL,0.4,"0,512",10,"-9,094",0,"0,0348","0,534","0,276","0,104","0,17","99,18",1618693,4,"38,0865",49,0,4
Bitter Bad,Melanie,spotify:track:2tMJAOWb2Qe9oJeMGZ5n5q,0.572,"0,596",3,"-10,884",1,"0,0294","0,406",0,"0,222","0,943","139,984",153573,4,"28,76059",6,1,4
Black & White,Three Dog Night,spotify:track:4XcUADpOth9Wroq5EVMFJq,0.688,"0,577",11,"-12,093",1,"0,0292","0,493","1,04E-05","0,528","0,961","109,077",206080,4,"42,70986",8,1,4
Blood and Jasmine,Alex de Grassi,spotify:track:05Fso13NLqC47WbWpCZDpP,0.288,"0,135",4,"-24,16",1,"0,0483","0,948","0,853","0,102","0,18","151,09",266200,3,"142,10352",6,0,4
Bloody Well Right,Supertramp,spotify:track:2SmlWvdYG6FsagxN3FkHMI,0.575,"0,446",3,"-13,839",1,"0,105","0,426","0,0175","0,0656","0,532","75,501",272432,4,"39,50297",11,1,4
Blue Angel,R. Stevie Moore,spotify:track:6cPZIWHKQC7WSUEweL3kNU,0.586,"0,318",5,"-16,836",1,"0,0332","0,0281",0,"0,315","0,724","112,106",167227,4,"19,31409",8,0,4
Blue Bayou,Linda Ronstadt,spotify:track:3zxklD2EGecZre9MjEEvIU,0.732,"0,161",11,"-12,817",1,"0,0306","0,739","0,000379","0,105","0,5","95,21",239400,4,"31,84912",12,1,4
Blue Money,Van Morrison,spotify:track:7xl2NWfTiZzTycHhDwws7u,0.665,"0,46",2,"-14,902",1,"0,041","0,787","0,0015","0,0601","0,819","153,971",228107,4,"41,59112",12,1,4
Bold Soul Sister,Ike & Tina Turner,spotify:track:6g2RtR71Qj12dKQIwPpFJc,0.775,"0,688",3,"-12,959",1,"0,0699","0,224","0,0411","0,117","0,93","94,143",158508,4,"42,2136",8,1,4
"Bom Dia, Rock 'N' Roll",Erasmo Carlos,spotify:track:5VOlPuJBQSBTL7toBW60jg,0.445,"0,939",9,"-5,59",1,"0,105","0,386","0,497","0,234","0,881","176,5",192653,4,"28,50443",10,0,4
Bonaparte's Retreat,Doc & Merle Watson,spotify:track:0b8jUiJFC5P47PNrRSRQyg,0.548,"0,394",2,"-11,666",1,"0,0282","0,864","0,856","0,1","0,472","105,79",122480,4,"33,31313",8,0,4
Boogie Woogie Bugle Boy,Bette Midler,spotify:track:7MuMALGZV3KhVA9AS9TFup,0.658,"0,647",0,"-6,787",1,"0,137","0,659",0,"0,174","0,825","98,49",137173,4,"92,50927",4,1,4
Boogie Woogie Man,Paul Davis,spotify:track:0I5EVgdKmbHyddyvMNvO6W,0.8,"0,866",9,"-6,069",1,"0,0404","0,667",0,"0,162","0,968","130,15",147373,4,"38,14948",9,1,4
Bossa Nostra,Jan Ptaszyn Wróblewski Quartet,spotify:track:6PPHNs3QxD63xzZSSlWrUN,0.47,"0,495",0,"-11,567",1,"0,0388","0,677","0,516","0,105","0,353","130,644",339840,4,"29,28067",17,0,4
Boston Blues - Remastered,kalapana,spotify:track:2LsTh7Uq9poctf0JfDTkYV,0.368,"0,514",2,"-7,76",1,"0,0303","0,447","2,22E-06","0,266","0,293","75,177",265413,4,"39,4491",10,0,4
Bourgeois Blues,Lead Belly,spotify:track:6ieR5a93zbd5O9MjdSNAy4,0.505,"0,122",9,"-12,704",1,"0,0783","0,995","0,0189","0,123","0,55","73,253",201574,4,"30,31308",8,0,4
Brazil - Alternate Take,Antônio Carlos Jobim,spotify:track:08vkLM8DiKJTisZMaEA6bs,0.408,"0,41",10,"-20,076",0,"0,0387","0,528","0,877","0,104","0,709","96,139",325507,4,"51,03844",18,0,4
Break Up To Make Up,The Stylistics,spotify:track:3TxCVEadoqOUUxDp9gTh2H,0.583,"0,301",4,"-10,598",1,"0,0243","0,883",0,"0,334","0,337","79,364",239840,3,"22,39999",13,1,4
Brick House,Commodores,spotify:track:5VJjhHyG8NZ5xdgG6uTb3P,0.831,"0,782",4,"-10,48",0,"0,0595","0,0731","0,0171","0,032","0,631","107,877",208893,4,"49,44151",8,1,4
Bridget The Midget (The Queen Of The Blues),Ray Stevens,spotify:track:3Q3jr0TmGMEjFieUO0hBOw,0.341,"0,703",5,"-15,473",0,"0,13","0,611","0,000308","0,905","0,725","181,658",219240,4,"48,47382",11,1,4
Bring Back The Love Of Yesterday,The Dells,spotify:track:5cenl0ZxXU2bmInlbggGt4,0.423,"0,534",6,"-14,465",1,"0,11","0,639","0,83","0,183","0,605","162,055",232760,4,"22,48152",12,1,4
